arm,dataset,seq_len,pred_len,seed,cut_freq,status,n_param,val_mse,val_mse_seg0,val_mse_seg1,val_mse_seg2,val_mse_seg3,t_train,peak_cuda_mb,forecast_rank,forecast_init,forecast_channel_scale,forecast_kernel_gate_mean,forecast_kernel_effective_rank,forecast_kernel_raw_rms,forecast_kernel_delta_rms,reference_arm,reference_val_mse,delta_val_vs_reference_pct,delta_val_vs_dense_pct,param_ratio_vs_dense,epochs_ran,train_seconds_per_epoch,train_time_ratio_vs_dense,train_per_epoch_ratio_vs_dense,within_val_band,fixed_work_train_ratio_vs_dense,fixed_work_inference_ratio_vs_dense,fixed_work_peak_memory_ratio_vs_dense,parameter_ok,resource_ok,gate_ok,eligible,job_id,summary_file
fk_r8_cs,weather,96,720,2026,13,ok,75882,0.6851406,0.6177279,1.0577521,0.415743,0.6493078,469.3836,143.44,8,small_random,1,0.04691692814230919,8.0,5.138889789581299,0.2578428387641907,dense_direct,0.6853235,-0.026688126118534772,-0.026688126118534772,0.548652986855234,30,15.64612,1.744796559054729,1.163197706036486,1,0.9474127793473632,0.9575783885882393,0.994526486729449,1,1,1,1,28796511,phase11_results/screen/fk_r8_cs/weather/sl96_pl720_cf13_sd2026/run_summary.json
fk_r8,weather,96,720,2026,13,ok,75714,0.6855323,0.6178784,1.0577785,0.4164471,0.6499941,437.5251,143.36,8,small_random,0,0.04300687462091446,8.0,3.1485021114349365,0.1435822993516922,dense_direct,0.6853235,0.030467363223363186,0.030467363223363186,0.5474382890113227,30,14.58417,1.6263718821451714,1.0842479214301142,1,0.914510686698919,0.938590792275557,0.9939030136946577,1,1,1,1,28796510,phase11_results/screen/fk_r8/weather/sl96_pl720_cf13_sd2026/run_summary.json
