arm,dataset,seq_len,pred_len,seed,cut_freq,status,n_param,val_mse,val_mse_seg0,val_mse_seg1,val_mse_seg2,val_mse_seg3,t_train,peak_cuda_mb,forecast_rank,forecast_init,forecast_channel_scale,forecast_kernel_gate_mean,forecast_kernel_effective_rank,forecast_kernel_raw_rms,forecast_kernel_delta_rms,reference_arm,reference_val_mse,delta_val_vs_reference_pct,delta_val_vs_dense_pct,param_ratio_vs_dense,epochs_ran,train_seconds_per_epoch,train_time_ratio_vs_dense,train_per_epoch_ratio_vs_dense,within_val_band,parameter_ok,resource_ok,gate_ok,eligible,job_id,summary_file
fk_r8,weather,96,720,2026,13,ok,75714,0.6855323,0.6178784,1.0577785,0.4164471,0.6499941,437.5251,143.36,8,small_random,0,0.04300687462091446,8.0,3.1485021114349365,0.1435822993516922,dense_direct,0.6853235,0.030467363223363186,0.030467363223363186,0.5474382890113227,30,14.58417,1.6263718821451714,1.0842479214301142,1,1,1,1,1,28796510,phase11_results/screen/fk_r8/weather/sl96_pl720_cf13_sd2026/run_summary.json
fk_r4,weather,96,720,2026,13,ok,72450,0.6855788,0.6177339,1.0579418,0.4165411,0.6500672,436.4849,143.28,4,small_random,0,0.04675703123211861,4.0,2.550081729888916,0.12572720646858215,dense_direct,0.6853235,0.0372524800331675,0.0372524800331675,0.5238384451867598,30,14.549496666666666,1.6225052421928405,1.0816701614618938,1,1,1,1,1,28796509,phase11_results/screen/fk_r4/weather/sl96_pl720_cf13_sd2026/run_summary.json
