arm,dataset,seq_len,pred_len,seed,status,val_mse,mse,mae,cut_freq,periods,exit_code,job_id,log_file
phase4_asx_cross_revin,electricity,720,720,2024,ok,0.1774162,0.21062441170215607,0.30369773507118225,181,24+168,0,28338848,logs/AsySpecX_phase4/phase4_asx_cross_revin_electricity_sl720_pl720_sd2024.log
phase4_asx_cross_revin,electricity,720,720,2025,ok,0.1767524,0.20876599848270416,0.30241769552230835,181,24+168,0,28338852,logs/AsySpecX_phase4/phase4_asx_cross_revin_electricity_sl720_pl720_sd2025.log
phase4_asx_cross_revin,electricity,720,720,2026,ok,0.1778572,0.21088972687721252,0.3047865033149719,181,24+168,0,28338856,logs/AsySpecX_phase4/phase4_asx_cross_revin_electricity_sl720_pl720_sd2026.log
phase4_asx_cross_revin,electricity,720,96,2024,ok,0.1193923,0.14175283908843994,0.24371543526649475,181,24+168,0,28338845,logs/AsySpecX_phase4/phase4_asx_cross_revin_electricity_sl720_pl96_sd2024.log
phase4_asx_cross_revin,electricity,720,96,2025,ok,0.1190985,0.14152368903160095,0.2431797981262207,181,24+168,0,28338849,logs/AsySpecX_phase4/phase4_asx_cross_revin_electricity_sl720_pl96_sd2025.log
phase4_asx_cross_revin,electricity,720,96,2026,ok,0.1190193,0.14104515314102173,0.242851123213768,181,24+168,0,28338853,logs/AsySpecX_phase4/phase4_asx_cross_revin_electricity_sl720_pl96_sd2026.log
phase4_asx_cross_revin,weather,720,192,2024,ok,0.4336114,0.1961822658777237,0.24785423278808594,31,144,0,28338834,logs/AsySpecX_phase4/phase4_asx_cross_revin_weather_sl720_pl192_sd2024.log
phase4_asx_cross_revin,weather,720,192,2025,ok,0.4373661,0.19715024530887604,0.24859632551670074,31,144,0,28338838,logs/AsySpecX_phase4/phase4_asx_cross_revin_weather_sl720_pl192_sd2025.log
phase4_asx_cross_revin,weather,720,192,2026,ok,0.4435121,0.19766069948673248,0.24840179085731506,31,144,0,28338842,logs/AsySpecX_phase4/phase4_asx_cross_revin_weather_sl720_pl192_sd2026.log
phase4_asx_cross_revin,weather,720,336,2024,ok,0.497236,0.24674822390079498,0.28501999378204346,31,144,0,28338835,logs/AsySpecX_phase4/phase4_asx_cross_revin_weather_sl720_pl336_sd2024.log
phase4_asx_cross_revin,weather,720,336,2025,ok,0.5014251,0.24830593168735504,0.2863943576812744,31,144,0,28338839,logs/AsySpecX_phase4/phase4_asx_cross_revin_weather_sl720_pl336_sd2025.log
phase4_asx_cross_revin,weather,720,336,2026,ok,0.5020058,0.24983978271484375,0.2878665030002594,31,144,0,28338843,logs/AsySpecX_phase4/phase4_asx_cross_revin_weather_sl720_pl336_sd2026.log
phase4_asx_cross_revin,weather,720,720,2024,ok,0.5935278,0.313768208026886,0.3331783711910248,31,144,0,28338836,logs/AsySpecX_phase4/phase4_asx_cross_revin_weather_sl720_pl720_sd2024.log
