arm,seed,val_mse,mse,mae,real_sm_val_same_seed,real_sm_mse_same_seed,val_delta_vs_real_sm,test_delta_vs_real_sm,test_win_vs_real_sm,n_param,t_train,t_inf,peak_cuda_mb,forecast_kernel_phase_abs_max,job_id,summary_file
fk_sm4_mode,2024,0.6855943,0.3419477641582489,0.33852264285087585,0.6855943,0.3419477641582489,0.0,0.0,0,75986,342.9345,3.6781,139.23,,28808817,phase11_results/complex_confirm/fk_sm4_mode/weather/sl96_pl720_cf13_sd2024/run_summary.json
fk_sm4_mode,2025,0.6851183,0.3415960371494293,0.3383072018623352,0.6851183,0.3415960371494293,0.0,0.0,0,75986,428.7174,5.6972,139.23,,28808818,phase11_results/complex_confirm/fk_sm4_mode/weather/sl96_pl720_cf13_sd2025/run_summary.json
fk_sm4_mode,2026,0.6851097,0.3415900766849518,0.3382854163646698,0.6851097,0.3415900766849518,0.0,0.0,0,75986,435.2976,3.3816,139.23,,28808819,phase11_results/complex_confirm/fk_sm4_mode/weather/sl96_pl720_cf13_sd2026/run_summary.json
fk_sm4_ph4_h,2024,0.6855608,0.3419199585914612,0.338494211435318,0.6855943,0.3419477641582489,-3.3500000000019625e-05,-2.7805566787719727e-05,1,76018,297.3829,8.8846,139.46,0.8749035000801086,28808820,phase11_results/complex_confirm/fk_sm4_ph4_h/weather/sl96_pl720_cf13_sd2024/run_summary.json
fk_sm4_ph4_h,2025,0.6850818,0.34157049655914307,0.3382858335971832,0.6851183,0.3415960371494293,-3.649999999999487e-05,-2.5540590286254883e-05,1,76018,442.6391,3.786,139.46,0.5648314952850342,28808821,phase11_results/complex_confirm/fk_sm4_ph4_h/weather/sl96_pl720_cf13_sd2025/run_summary.json
fk_sm4_ph4_h,2026,0.6850928,0.34156471490859985,0.3382614552974701,0.6851097,0.3415900766849518,-1.6900000000097393e-05,-2.536177635192871e-05,1,76018,447.0532,3.5655,139.46,0.5967373251914978,28808822,phase11_results/complex_confirm/fk_sm4_ph4_h/weather/sl96_pl720_cf13_sd2026/run_summary.json
