run_tag,arm,dataset,seq_len,pred_len,seed,cut_freq,cycle,periods,status,exit_code,job_id,n_param,val_mse,mse,mae,t_train,t_inf,peak_cuda_mb,log_file,summary_file,val_mse_seg0,val_mse_seg1,val_mse_seg2,val_mse_seg3
phase10ep_0712v1,cross,electricity,96,336,2026,25,168,24+168,ok,0,28661115,12278,0.1920492,0.2182890921831131,0.30668866634368896,794.1182,7.3279,572.58,logs/AsySpecX_phase10/phase10ep_0712v1_cross_electricity_sl96_pl336_cf25_sd2026.log,phase10_results/electricity_pareto_0712v1/cross/electricity/sl96_pl336_cf25_sd2026/run_summary.json,0.1973004,0.1795276,0.2025425,0.1901305
phase10ep_0712v1,cross_cycle_full,electricity,96,336,2026,25,168,24+168,ok,0,28661117,66206,0.1570086,0.1838723123073578,0.2807093858718872,776.5148,7.1419,627.08,logs/AsySpecX_phase10/phase10ep_0712v1_cross_cycle_full_electricity_sl96_pl336_cf25_sd2026.log,phase10_results/electricity_pareto_0712v1/cross_cycle_full/electricity/sl96_pl336_cf25_sd2026/run_summary.json,0.1531782,0.1464252,0.169651,0.1588748
phase10ep_0712v1,cross_cycle_full_direct_res,electricity,96,336,2026,25,168,24+168,ok,0,28661119,99134,0.1550044,0.18030966818332672,0.27283647656440735,789.1022,7.237,669.27,logs/AsySpecX_phase10/phase10ep_0712v1_cross_cycle_full_direct_res_electricity_sl96_pl336_cf25_sd2026.log,phase10_results/electricity_pareto_0712v1/cross_cycle_full_direct_res/electricity/sl96_pl336_cf25_sd2026/run_summary.json,0.1507357,0.146338,0.1663985,0.1565776
phase10ep_0712v1,cross_cycle_full_dlinear_res,electricity,96,336,2026,25,168,24+168,ok,0,28661121,131726,0.1549745,0.18030427396297455,0.2728416621685028,790.8628,7.1602,703.64,logs/AsySpecX_phase10/phase10ep_0712v1_cross_cycle_full_dlinear_res_electricity_sl96_pl336_cf25_sd2026.log,phase10_results/electricity_pareto_0712v1/cross_cycle_full_dlinear_res/electricity/sl96_pl336_cf25_sd2026/run_summary.json,0.1507095,0.1463344,0.1664551,0.1564316
factor_lift_0712v1,factor_r2_cycle,electricity,96,336,2026,25,168,24+168,ok,0,28661235,72236,0.1486932,0.17540599405765533,0.2696412205696106,578.0245,6.1495,619.05,logs/AsySpecX_phase10/factor_lift_0712v1_factor_r2_cycle_electricity_sl96_pl336_cf25_sd2026.log,phase10_results/factor_lift_0712v1/factor_r2_cycle/electricity/sl96_pl336_cf25_sd2026/run_summary.json,0.1428448,0.1390146,0.1621438,0.151503
factor_lift_0712v1,factor_r2_cycle_direct_res,electricity,96,336,2026,25,168,24+168,ok,0,28661239,105164,0.1487619,0.17416971921920776,0.26650768518447876,582.8787,6.202,660.96,logs/AsySpecX_phase10/factor_lift_0712v1_factor_r2_cycle_direct_res_electricity_sl96_pl336_cf25_sd2026.log,phase10_results/factor_lift_0712v1/factor_r2_cycle_direct_res/electricity/sl96_pl336_cf25_sd2026/run_summary.json,0.1431481,0.1398292,0.1616247,0.1512177
factor_lift_0712v1,factor_r4_cycle,electricity,96,336,2026,25,168,24+168,ok,0,28661237,84078,0.1490698,0.17533908784389496,0.26895660161972046,564.7946,5.9993,619.24,logs/AsySpecX_phase10/factor_lift_0712v1_factor_r4_cycle_electricity_sl96_pl336_cf25_sd2026.log,phase10_results/factor_lift_0712v1/factor_r4_cycle/electricity/sl96_pl336_cf25_sd2026/run_summary.json,0.1432464,0.1398772,0.1620144,0.1516446
factor_lift_0712v1,factor_r4_cycle_direct_res,electricity,96,336,2026,25,168,24+168,ok,0,28661241,117006,0.148752,0.1740175038576126,0.2664783000946045,588.062,6.4542,661.14,logs/AsySpecX_phase10/factor_lift_0712v1_factor_r4_cycle_direct_res_electricity_sl96_pl336_cf25_sd2026.log,phase10_results/factor_lift_0712v1/factor_r4_cycle_direct_res/electricity/sl96_pl336_cf25_sd2026/run_summary.json,0.1430957,0.1397924,0.1615479,0.1510657
phase10_0712v1,ind,electricity,96,336,2026,25,168,24+168,ok,0,28661040,1870146,0.1842279,0.2098674327135086,0.2959875762462616,2214.5759,9.0691,582.59,logs/AsySpecX_phase10/phase10_0712v1_ind_electricity_sl96_pl336_cf25_sd2026.log,phase10_results/screen_0712v1/ind/electricity/sl96_pl336_cf25_sd2026/run_summary.json,0.187901,0.1724881,0.1928382,0.1844831
phase10_0712v1,ind_cycle_full,electricity,96,336,2026,25,168,24+168,ok,0,28661042,1924074,0.1466008,0.17403540015220642,0.2684190571308136,2214.6142,9.122,651.13,logs/AsySpecX_phase10/phase10_0712v1_ind_cycle_full_electricity_sl96_pl336_cf25_sd2026.log,phase10_results/screen_0712v1/ind_cycle_full/electricity/sl96_pl336_cf25_sd2026/run_summary.json,0.141025,0.1362652,0.1609606,0.1490834
