dataset,seq_len,pred_len,seed,selected_arm,val_mse,test_mse,test_mae
electricity,720,96,2024,phase4_asx_period_single,0.9669361,1.0927249193191528,0.8243833184242249
weather,720,96,2024,phase4_asx_period_single,0.8323469,0.3290500044822693,0.36207088828086853
