arm,seed,val_mse,mse,mae,dense_val_same_seed,dense_mse_same_seed,val_delta_vs_dense,test_delta_vs_dense,test_win_vs_dense,test_win_vs_published,n_param,t_train,t_inf,peak_cuda_mb,forecast_kernel_gate_mean,job_id,summary_file
dense_direct,2024,0.685334,0.342364102602005,0.3385651111602783,0.685334,0.342364102602005,0.0,0.0,0,0,138306,406.9312,3.4304,143.99,,28797138,phase11_results/confirm_final/dense_direct/weather/sl96_pl720_cf13_sd2024/run_summary.json
dense_direct,2025,0.6854087,0.3424573540687561,0.3386075496673584,0.6854087,0.3424573540687561,0.0,0.0,0,0,138306,379.4396,3.6431,143.99,,28797139,phase11_results/confirm_final/dense_direct/weather/sl96_pl720_cf13_sd2025/run_summary.json
dense_direct,2026,0.6853235,0.3428370952606201,0.33882686495780945,0.6853235,0.3428370952606201,0.0,0.0,0,0,138306,272.3954,3.3954,143.99,,28797140,phase11_results/confirm_final/dense_direct/weather/sl96_pl720_cf13_sd2026/run_summary.json
fk_r8_cs,2024,0.6856333,0.3420450985431671,0.33858221769332886,0.685334,0.342364102602005,0.00029930000000000234,-0.0003190040588378906,1,0,75882,287.8206,3.7008,143.44,0.04542383551597595,28797141,phase11_results/confirm_final/fk_r8_cs/weather/sl96_pl720_cf13_sd2024/run_summary.json
fk_r8_cs,2025,0.6851448,0.34169289469718933,0.3383537530899048,0.6854087,0.3424573540687561,-0.0002638999999999836,-0.0007644593715667725,1,0,75882,418.579,3.6049,143.44,0.045910973101854324,28797142,phase11_results/confirm_final/fk_r8_cs/weather/sl96_pl720_cf13_sd2025/run_summary.json
fk_r8_cs,2026,0.6851406,0.34169113636016846,0.338338702917099,0.6853235,0.3428370952606201,-0.00018289999999998585,-0.0011459589004516602,1,0,75882,423.2537,3.9866,143.44,0.04691692814230919,28797144,phase11_results/confirm_final/fk_r8_cs/weather/sl96_pl720_cf13_sd2026/run_summary.json
fk_r8,2024,0.6855922,0.34266048669815063,0.33875682950019836,0.685334,0.342364102602005,0.0002581999999999862,0.0002963840961456299,0,0,75714,503.8916,3.8547,143.36,0.042162101715803146,28797145,phase11_results/confirm_final/fk_r8/weather/sl96_pl720_cf13_sd2024/run_summary.json
fk_r8,2025,0.6855979,0.34269535541534424,0.33877697587013245,0.6854087,0.3424573540687561,0.00018920000000000048,0.00023800134658813477,0,0,75714,508.7131,4.0651,143.36,0.042144645005464554,28797146,phase11_results/confirm_final/fk_r8/weather/sl96_pl720_cf13_sd2025/run_summary.json
fk_r8,2026,0.6855323,0.34273892641067505,0.3387763202190399,0.6853235,0.3428370952606201,0.00020880000000000898,-9.816884994506836e-05,1,0,75714,435.1581,3.61,143.36,0.04300687089562416,28797147,phase11_results/confirm_final/fk_r8/weather/sl96_pl720_cf13_sd2026/run_summary.json
