arm,seeds,val_mse_mean,val_mse_std,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std,test_wins_vs_dense,test_wins_vs_published,mean_test_delta_vs_dense,mean_test_delta_vs_dense_pct,mean_val_delta_vs_dense,n_param,peak_cuda_mb,t_train_mean,t_inf_mean,gate_mean,fixed_train_ratio,fixed_inference_ratio,fixed_peak_memory_ratio,stable_win
dense_direct,3,0.6853554000000001,3.793178087039835e-05,0.34255285064379376,0.00020456492149419217,0.33866650859514874,0.00011470506819703638,0,0,0.0,0.0,0.0,138306,143.99,352.9220666666667,3.4896333333333334,,1.0,1.0,1.0,0
fk_r8_cs,3,0.6853062333333333,0.00023127741399069627,0.3418097098668416,0.00016644647717102334,0.3384248912334442,0.00011141615131343324,3,0,-0.0007431407769521448,-0.21694193335582979,-4.916666666676672e-05,75882,143.44,376.55109999999996,3.7641000000000004,0.04608391225337982,0.9474127793473632,0.9575783885882393,0.994526486729449,1
fk_r8,3,0.6855741333333333,2.9672021988548277e-05,0.3426982561747233,3.2088501875901726e-05,0.3387700418631236,9.346385045902792e-06,1,0,0.00014540553092956543,0.042447619588137364,0.00021873333333322087,75714,143.36,482.5876,3.8432666666666666,0.04243787253896395,0.914510686698919,0.938590792275557,0.9939030136946577,0
