arm,dataset,seq_len,pred_len,seed,status,val_mse,mse,mae,exit_code,job_id,log_file
phase3_anchor_revin_affine,weather,720,96,2026,ok,0.3837519,0.15281786024570465,0.21050402522087097,0,28332017,logs/AsySpecX_phase3/phase3_anchor_revin_affine_weather_sl720_pl96_sd2026.log
phase3_anchor_revin_affine,weather,720,96,2027,ok,0.3789798,0.1517438292503357,0.20886750519275665,0,28332021,logs/AsySpecX_phase3/phase3_anchor_revin_affine_weather_sl720_pl96_sd2027.log
phase3_anchor_sparse_period,electricity,720,192,2026,ok,0.1284148,0.15264832973480225,0.2504502236843109,0,28332058,logs/AsySpecX_phase3/phase3_anchor_sparse_period_electricity_sl720_pl192_sd2026.log
phase3_anchor_sparse_period,electricity,720,192,2027,ok,0.1286255,0.1527624875307083,0.25069886445999146,0,28332062,logs/AsySpecX_phase3/phase3_anchor_sparse_period_electricity_sl720_pl192_sd2027.log
phase3_anchor_sparse_period,electricity,720,336,2026,ok,0.142867,0.16691282391548157,0.2643808424472809,0,28332059,logs/AsySpecX_phase3/phase3_anchor_sparse_period_electricity_sl720_pl336_sd2026.log
phase3_anchor_sparse_period,electricity,720,336,2027,ok,0.1431982,0.16755445301532745,0.26485323905944824,0,28332063,logs/AsySpecX_phase3/phase3_anchor_sparse_period_electricity_sl720_pl336_sd2027.log
phase3_anchor_sparse_period,electricity,720,720,2026,ok,0.1747993,0.20422030985355377,0.2952868938446045,0,28332060,logs/AsySpecX_phase3/phase3_anchor_sparse_period_electricity_sl720_pl720_sd2026.log
phase3_anchor_sparse_period,electricity,720,720,2027,ok,0.1745402,0.20349211990833282,0.2941526174545288,0,28332064,logs/AsySpecX_phase3/phase3_anchor_sparse_period_electricity_sl720_pl720_sd2027.log
phase3_anchor_sparse_period,electricity,720,96,2026,ok,0.1158186,0.1373506337404251,0.2373502552509308,0,28332057,logs/AsySpecX_phase3/phase3_anchor_sparse_period_electricity_sl720_pl96_sd2026.log
phase3_anchor_sparse_period,electricity,720,96,2027,ok,0.1168248,0.1389194130897522,0.2390706092119217,0,28332061,logs/AsySpecX_phase3/phase3_anchor_sparse_period_electricity_sl720_pl96_sd2027.log
phase3_anchor_sparse_period,weather,720,192,2026,ok,0.4426442,0.19854672253131866,0.25118279457092285,0,28332050,logs/AsySpecX_phase3/phase3_anchor_sparse_period_weather_sl720_pl192_sd2026.log
phase3_anchor_sparse_period,weather,720,192,2027,ok,0.4403932,0.19766023755073547,0.2514604926109314,0,28332054,logs/AsySpecX_phase3/phase3_anchor_sparse_period_weather_sl720_pl192_sd2027.log
phase3_anchor_sparse_period,weather,720,336,2026,ok,0.5007435,0.2509640157222748,0.2911268174648285,0,28332051,logs/AsySpecX_phase3/phase3_anchor_sparse_period_weather_sl720_pl336_sd2026.log
phase3_anchor_sparse_period,weather,720,336,2027,ok,0.4974203,0.25148648023605347,0.2910606265068054,0,28332055,logs/AsySpecX_phase3/phase3_anchor_sparse_period_weather_sl720_pl336_sd2027.log
phase3_anchor_sparse_period,weather,720,720,2026,ok,0.5894999,0.3156142234802246,0.3378054201602936,0,28332052,logs/AsySpecX_phase3/phase3_anchor_sparse_period_weather_sl720_pl720_sd2026.log
phase3_anchor_sparse_period,weather,720,720,2027,ok,0.5933401,0.3134150207042694,0.33638831973075867,0,28332056,logs/AsySpecX_phase3/phase3_anchor_sparse_period_weather_sl720_pl720_sd2027.log
phase3_anchor_sparse_period,weather,720,96,2026,ok,0.3850299,0.15260644257068634,0.21145524084568024,0,28332049,logs/AsySpecX_phase3/phase3_anchor_sparse_period_weather_sl720_pl96_sd2026.log
phase3_anchor_sparse_period,weather,720,96,2027,ok,0.3796554,0.15246126055717468,0.21109779179096222,0,28332053,logs/AsySpecX_phase3/phase3_anchor_sparse_period_weather_sl720_pl96_sd2027.log
phase3_diag_only_weather_guard,electricity,720,192,2026,ok,0.1315999,0.15606358647346497,0.25570452213287354,0,28332106,logs/AsySpecX_phase3/phase3_diag_only_weather_guard_electricity_sl720_pl192_sd2026.log
phase3_diag_only_weather_guard,electricity,720,192,2027,ok,0.1315618,0.155967578291893,0.25555354356765747,0,28332110,logs/AsySpecX_phase3/phase3_diag_only_weather_guard_electricity_sl720_pl192_sd2027.log
phase3_diag_only_weather_guard,electricity,720,336,2026,ok,0.1468686,0.17160063982009888,0.27089789509773254,0,28332107,logs/AsySpecX_phase3/phase3_diag_only_weather_guard_electricity_sl720_pl336_sd2026.log
phase3_diag_only_weather_guard,electricity,720,336,2027,ok,0.1467491,0.17151887714862823,0.2708589434623718,0,28332111,logs/AsySpecX_phase3/phase3_diag_only_weather_guard_electricity_sl720_pl336_sd2027.log
phase3_diag_only_weather_guard,electricity,720,720,2026,ok,0.1798853,0.20989471673965454,0.3022006154060364,0,28332108,logs/AsySpecX_phase3/phase3_diag_only_weather_guard_electricity_sl720_pl720_sd2026.log
phase3_diag_only_weather_guard,electricity,720,720,2027,ok,0.1797525,0.20990562438964844,0.3023523688316345,0,28332112,logs/AsySpecX_phase3/phase3_diag_only_weather_guard_electricity_sl720_pl720_sd2027.log
