task_id,family,model,dataset,seq_len,pred_len,seed,source_status,completion_status,mse,mae,mape,rmse,param_count,forward_active_param_count,inactive_registered_param_count,t_train,t_inf,forward_ms_per_sample,test_peak_gpu_mem_mb,train_peak_gpu_mem_mb,n_test_samples,result_dir,checkpoint_path,metrics_path,audit_error
24,asy2echo,Asy2+Echo,ETTm2,96,96,2026,not_available,ok,0.1693668992234771,0.2514329964917421,1.0767119379324688,0.41154209896859534,3346,,,42.106088399887085,2.018383502960205,0.04118026615297768,37.94287109375,71.6240234375,11425,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l96_h96_s2026_AsyCycleV2_ETTm2_ftM_sl96_pl96_cycle96_seed2026,checkpoints/completion_0716v2/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l96_h96_s2026_AsyCycleV2_ETTm2_ftM_sl96_pl96_cycle96_seed2026/checkpoint.pth,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l96_h96_s2026_AsyCycleV2_ETTm2_ftM_sl96_pl96_cycle96_seed2026/metrics_summary.csv,
25,asy2echo,Asy2+Echo,ETTm2,96,192,2026,not_available,ok,0.2360157250208354,0.2949376514721814,1.204965401650431,0.48581449651161646,3378,,,55.19367980957031,1.2233121395111084,0.022645461028501797,42.54150390625,77.33740234375,11329,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l96_h192_s2026_AsyCycleV2_ETTm2_ftM_sl96_pl192_cycle96_seed2026,checkpoints/completion_0716v2/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l96_h192_s2026_AsyCycleV2_ETTm2_ftM_sl96_pl192_cycle96_seed2026/checkpoint.pth,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l96_h192_s2026_AsyCycleV2_ETTm2_ftM_sl96_pl192_cycle96_seed2026/metrics_summary.csv,
26,asy2echo,Asy2+Echo,ETTm2,96,336,2026,not_available,ok,0.2965760949381847,0.33343179058085454,1.3114918778175226,0.5445880047689122,3410,,,33.57128667831421,1.9115161895751953,0.047458213273973725,50.4072265625,87.4951171875,11185,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l96_h336_s2026_AsyCycleV2_ETTm2_ftM_sl96_pl336_cycle96_seed2026,checkpoints/completion_0716v2/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l96_h336_s2026_AsyCycleV2_ETTm2_ftM_sl96_pl336_cycle96_seed2026/checkpoint.pth,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l96_h336_s2026_AsyCycleV2_ETTm2_ftM_sl96_pl336_cycle96_seed2026/metrics_summary.csv,
27,asy2echo,Asy2+Echo,ETTm2,96,720,2026,not_available,ok,0.3964042621457089,0.3907540574785672,1.5119803592214813,0.6296064343268014,3474,,,40.13373851776123,2.0082931518554688,0.04482028088272418,68.4912109375,110.6826171875,10801,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l96_h720_s2026_AsyCycleV2_ETTm2_ftM_sl96_pl720_cycle96_seed2026,checkpoints/completion_0716v2/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l96_h720_s2026_AsyCycleV2_ETTm2_ftM_sl96_pl720_cycle96_seed2026/checkpoint.pth,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l96_h720_s2026_AsyCycleV2_ETTm2_ftM_sl96_pl720_cycle96_seed2026/metrics_summary.csv,
28,asy2echo,Asy2+Echo,ETTm2,720,96,2026,not_available,ok,0.1601231649131102,0.2518029948371194,1.0790524975153837,0.400153926524669,13330,,,56.86330246925354,1.4546587467193604,0.019038500023814207,46.20751953125,83.876953125,11425,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l720_h96_s2026_AsyCycleV2_ETTm2_ftM_sl720_pl96_cycle96_seed2026,checkpoints/completion_0716v2/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l720_h96_s2026_AsyCycleV2_ETTm2_ftM_sl720_pl96_cycle96_seed2026/checkpoint.pth,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l720_h96_s2026_AsyCycleV2_ETTm2_ftM_sl720_pl96_cycle96_seed2026/metrics_summary.csv,
29,asy2echo,Asy2+Echo,ETTm2,720,192,2026,not_available,ok,0.2168940551428324,0.2927810483009719,1.2257478372273987,0.4657188584788385,13362,,,52.04590392112732,1.4643402099609375,0.023389266706363217,51.76708984375,90.37548828125,11329,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l720_h192_s2026_AsyCycleV2_ETTm2_ftM_sl720_pl192_cycle96_seed2026,checkpoints/completion_0716v2/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l720_h192_s2026_AsyCycleV2_ETTm2_ftM_sl720_pl192_cycle96_seed2026/checkpoint.pth,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l720_h192_s2026_AsyCycleV2_ETTm2_ftM_sl720_pl192_cycle96_seed2026/metrics_summary.csv,
30,asy2echo,Asy2+Echo,ETTm2,720,336,2026,not_available,ok,0.26931366290563,0.3288908573241918,1.322265758918768,0.5189543938590655,13394,,,44.742461919784546,2.0935986042022705,0.0435976976021678,58.4140625,98.93798828125,11185,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l720_h336_s2026_AsyCycleV2_ETTm2_ftM_sl720_pl336_cycle96_seed2026,checkpoints/completion_0716v2/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l720_h336_s2026_AsyCycleV2_ETTm2_ftM_sl720_pl336_cycle96_seed2026/checkpoint.pth,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l720_h336_s2026_AsyCycleV2_ETTm2_ftM_sl720_pl336_cycle96_seed2026/metrics_summary.csv,
31,asy2echo,Asy2+Echo,ETTm2,720,720,2026,not_available,ok,0.3531891931494033,0.38627621116750854,1.5447852722114117,0.5942972262676339,13458,,,46.834866762161255,2.2334485054016113,0.047112811288147344,77.771484375,122.5517578125,10801,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l720_h720_s2026_AsyCycleV2_ETTm2_ftM_sl720_pl720_cycle96_seed2026,checkpoints/completion_0716v2/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l720_h720_s2026_AsyCycleV2_ETTm2_ftM_sl720_pl720_cycle96_seed2026/checkpoint.pth,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_ETTm2_l720_h720_s2026_AsyCycleV2_ETTm2_ftM_sl720_pl720_cycle96_seed2026/metrics_summary.csv,
32,asy2echo,Asy2+Echo,PEMS03,96,12,2026,not_available,ok,0.0617789592780596,0.16584920656401542,1.3420353644254752,0.2485537351923314,19314,,,214.3466203212738,2.8439395427703857,0.11339434199961149,41.18798828125,77.59912109375,5230,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l96_h12_s2026_AsyCycleV2_PEMS_ftM_sl96_pl12_cycle288_seed2026,checkpoints/completion_0716v2/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l96_h12_s2026_AsyCycleV2_PEMS_ftM_sl96_pl12_cycle288_seed2026/checkpoint.pth,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l96_h12_s2026_AsyCycleV2_PEMS_ftM_sl96_pl12_cycle288_seed2026/metrics_summary.csv,
33,asy2echo,Asy2+Echo,PEMS03,96,24,2026,not_available,ok,0.07883697371112304,0.1872236673110143,1.5208739505282847,0.280779225925144,20082,,,227.27644753456116,3.002250909805298,0.120389832386475,42.8935546875,78.720703125,5218,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l96_h24_s2026_AsyCycleV2_PEMS_ftM_sl96_pl24_cycle288_seed2026,checkpoints/completion_0716v2/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l96_h24_s2026_AsyCycleV2_PEMS_ftM_sl96_pl24_cycle288_seed2026/checkpoint.pth,results/complete_completion_0716v2_r2_20260717T001808_full_asy2echo_PEMS03_l96_h24_s2026_AsyCycleV2_PEMS_ftM_sl96_pl24_cycle288_seed2026/metrics_summary.csv,
