dataset,pred_len,Compact + Echo MSE,Compact + Echo MAE,TQNet MSE,TQNet MAE,CycleNet MSE,CycleNet MAE,FITS MSE,FITS MAE,SparseTSF MSE,SparseTSF MAE,FreTS MSE,FreTS MAE,FilterNet MSE,FilterNet MAE,iTransformer MSE,iTransformer MAE,PatchTST MSE,PatchTST MAE,DLinear MSE,DLinear MAE,MixLinear MSE,MixLinear MAE,PhaseFormer MSE,PhaseFormer MAE,FreqCycle MSE,FreqCycle MAE
ETTh1,96,0.3750604052349067,0.3923287765953505,0.3722872734069824,0.3932507336139679,0.3787690997123718,0.3918715715408325,0.3876684904098511,0.39675644040107727,0.3853410482406616,0.39080557227134705,0.39766207337379456,0.4138297736644745,0.3870052695274353,0.4050177037715912,0.38772040605545044,0.40609854459762573,0.38648903369903564,0.40005478262901306,0.40385836362838745,0.4189794361591339,0.4024002254009247,0.4069834053516388,0.38062536933473257,0.38848623423076883,0.37144470736063845,0.3918306573249971
ETTh1,192,0.42231090126032317,0.41777655641692857,0.42978137731552124,0.422845721244812,0.42691347002983093,0.4199761748313904,0.43786847591400146,0.42837396264076233,0.4348452687263489,0.42040011286735535,0.44686171412467957,0.43900513648986816,0.4428230822086334,0.43338215351104736,0.43971720337867737,0.43575483560562134,0.4361526370048523,0.42726215720176697,0.4465476870536804,0.4398042857646942,0.4334625005722046,0.42114195227622986,0.4301431020327569,0.41711510678714697,0.4154759513776131,0.41666401668319786
ETTh1,336,0.4595741100426146,0.4364206349592047,0.4756699502468109,0.4456445872783661,0.4651665985584259,0.4399872422218323,0.47694048285484314,0.44809475541114807,0.48060882091522217,0.4456454813480377,0.5001930594444275,0.472714364528656,0.5195631980895996,0.4716823101043701,0.48971134424209595,0.45992225408554077,0.48050761222839355,0.45093804597854614,0.5157304406166077,0.49302875995635986,0.47479209303855896,0.43993356823921204,0.46791915283195945,0.4353439596951045,0.4577838957380136,0.4382918532447932
ETTh1,720,0.45977735283737237,0.4538036911911172,0.49081337451934814,0.4718521237373352,0.46242040395736694,0.4617672264575958,0.47635969519615173,0.4778337776660919,0.4634914696216583,0.4575486481189728,0.574812114238739,0.5450076460838318,0.6354541182518005,0.5339949727058411,0.5136282444000244,0.49674874544143677,0.4889317750930786,0.47666680812835693,0.5426162481307983,0.5277174711227417,0.47580012679100037,0.4673670828342438,0.4645510954753938,0.4464530291507048,0.45947898757415606,0.45730502571311216
ETTh2,96,0.2847804530839197,0.3351129108733952,0.29276853799819946,0.3421964943408966,0.2869143486022949,0.336274117231369,0.2962391674518585,0.3435402512550354,0.3032776415348053,0.3469540774822235,0.3138924539089203,0.3705407977104187,0.30057621002197266,0.34798553586006165,0.3037857115268707,0.3525485694408417,0.29275190830230713,0.3426553010940552,0.31192904710769653,0.36561572551727295,0.30284741520881653,0.3467482328414917,0.29247250065308056,0.34092886913318643,0.28661866635952976,0.33877949137717595
ETTh2,192,0.3741459363188921,0.3923750780073297,0.36600902676582336,0.3912723660469055,0.3727259635925293,0.39143335819244385,0.3818401098251343,0.3942728042602539,0.38639000058174133,0.39671677350997925,0.4555008113384247,0.45949095487594604,0.37667444348335266,0.40136000514030457,0.37807267904281616,0.397566556930542,0.36703795194625854,0.3902987241744995,0.40562668442726135,0.42232146859169006,0.38484397530555725,0.39556777477264404,0.3701131560016939,0.38738097873365657,0.3650637374127025,0.3911111628785161
ETTh2,336,0.4237327003950373,0.434188320873713,0.41859692335128784,0.42943012714385986,0.4246993660926819,0.4339267611503601,0.41966599225997925,0.42777591943740845,0.4205617308616638,0.4276490807533264,0.5086455941200256,0.49435877799987793,0.4226026237010956,0.43522629141807556,0.4237966537475586,0.4322473406791687,0.41966110467910767,0.4293452501296997,0.48955056071281433,0.4813942015171051,0.4264834225177765,0.43002572655677795,0.4102147718330403,0.42115806734279543,0.4116258053378967,0.42575863249034923
ETTh2,720,0.45082242321299554,0.45830650251250604,0.44010740518569946,0.4494432806968689,0.4521522521972656,0.4571126103401184,0.4227452874183655,0.4400418698787689,0.4200984537601471,0.4377323389053345,0.7281586527824402,0.6124299764633179,0.4493144154548645,0.4574469029903412,0.43535900115966797,0.4503791034221649,0.42343249917030334,0.4423762261867523,0.6938760280609131,0.5913785696029663,0.42839398980140686,0.44342145323753357,0.41813983941947674,0.43877033643181584,0.43018596482584304,0.4462744891928838
ETTm1,96,0.3203779513138896,0.35841993311139525,0.30999717116355896,0.35191619396209717,0.32552361488342285,0.3638309836387634,0.3729449510574341,0.38803818821907043,0.3879808783531189,0.3944582939147949,0.3389061391353607,0.37483713030815125,0.3319801390171051,0.3675922453403473,0.34596380591392517,0.3777419626712799,0.3217446506023407,0.35943618416786194,0.34636393189430237,0.3700192868709564,0.3540966510772705,0.37306877970695496,0.32515678938603476,0.35521333891769413,0.31046365336649173,0.35402066906781565
ETTm1,192,0.3600282502310758,0.37729034604704276,0.36290422081947327,0.38172420859336853,0.366817444562912,0.38268956542015076,0.4041398763656616,0.4012943506240845,0.41493138670921326,0.4052421450614929,0.387420654296875,0.4002600908279419,0.36846914887428284,0.38780921697616577,0.3858637511730194,0.3981885612010956,0.3618197441101074,0.3818311393260956,0.38318297266960144,0.3928780257701874,0.39930930733680725,0.39772534370422363,0.3736979987520142,0.37770178144088074,0.3511686401459911,0.3739921383650268
ETTm1,336,0.39031046592220464,0.39691447307228545,0.3907833993434906,0.4024057388305664,0.3964098393917084,0.4020500183105469,0.4344303607940674,0.4209851920604706,0.4404523968696594,0.4225965142250061,0.4237547814846039,0.4280933141708374,0.41218554973602295,0.417865514755249,0.4226180911064148,0.4204539656639099,0.3875490725040436,0.4020470380783081,0.418813019990921,0.42007923126220703,0.43715402483940125,0.4235820472240448,0.4110755252837609,0.40147857147964294,0.38590167918508156,0.40038384492197354
ETTm1,720,0.45049509006191263,0.42941801988951256,0.4520416259765625,0.44170942902565,0.45609304308891296,0.43309640884399414,0.4926689863204956,0.4528694748878479,0.4964870512485504,0.453925758600235,0.4811553955078125,0.4590500593185425,0.4640042781829834,0.44751131534576416,0.498419851064682,0.462950736284256,0.4535514712333679,0.4370887279510498,0.5046775341033936,0.4859939217567444,0.49838683009147644,0.4571106731891632,0.4684513982935486,0.43613056302677866,0.4459401347528359,0.4344289971108463
ETTm2,96,0.1663454884750775,0.24722382387384426,0.17316430807113647,0.25639891624450684,0.16795718669891357,0.24902381002902985,0.18933629989624023,0.2728424668312073,0.19767166674137115,0.278212308883667,0.18226638436317444,0.2685600519180298,0.17840218544006348,0.2610839605331421,0.1832587718963623,0.26617303490638733,0.17704975605010986,0.25908857583999634,0.193420872092247,0.2884940505027771,0.1835680603981018,0.26592451333999634,0.18052619116615165,0.26338470380507867,0.1622130274361158,0.24487863490154174
ETTm2,192,0.23170047837424604,0.2901234431771585,0.24059227108955383,0.2996150255203247,0.23299825191497803,0.291061669588089,0.251177579164505,0.3088940680027008,0.26035019755363464,0.31668272614479065,0.25691092014312744,0.32182207703590393,0.2414860725402832,0.30263441801071167,0.25201353430747986,0.31155696511268616,0.24785646796226501,0.30590391159057617,0.2529919743537903,0.3244071304798126,0.24848292768001556,0.3067638874053955,0.2461750074881657,0.3063394052648063,0.2269660341494134,0.28742938852294636
ETTm2,336,0.29274577341254576,0.3302026400162617,0.29885268211364746,0.3388271927833557,0.2938484847545624,0.3305228352546692,0.31022778153419495,0.34530097246170044,0.31668365001678467,0.34917402267456055,0.3601066470146179,0.38370388746261597,0.29711875319480896,0.33780521154403687,0.3118949234485626,0.3499450385570526,0.3051367998123169,0.3432815670967102,0.31380170583724976,0.3572688400745392,0.3093983232975006,0.34492385387420654,0.3057142119121584,0.3437682013357903,0.28397810135422247,0.3268361192615406
ETTm2,720,0.3943864165845686,0.38938609703153815,0.39913368225097656,0.3972204327583313,0.3958677053451538,0.39021238684654236,0.4096165895462036,0.39939913153648376,0.413791298866272,0.4021903872489929,0.505767822265625,0.4852367043495178,0.3963474929332733,0.39758849143981934,0.4105486273765564,0.4051044285297394,0.40362513065338135,0.3973907232284546,0.4164167046546936,0.424331933259964,0.4097898304462433,0.4004972279071808,0.4048906281332821,0.4011355629811978,0.39041484830719436,0.3920869539607923
weather,96,0.15375435118817726,0.19729124939110088,0.15833823382854462,0.2014399617910385,0.17065058648586273,0.2164858877658844,0.20939818024635315,0.2543054521083832,0.20726418495178223,0.2501862645149231,0.1735360026359558,0.2292378842830658,0.16536907851696014,0.2114529311656952,0.17446748912334442,0.21459002792835236,0.17282281816005707,0.21484939754009247,0.2016926407814026,0.26310062408447266,0.1956586092710495,0.23606961965560913,0.17900967597961426,0.216349259018898,0.15847706796439104,0.2029324967167345
weather,192,0.2019925756803009,0.2417384742566425,0.2059607207775116,0.24553777277469635,0.22185829281806946,0.25903552770614624,0.2521492540836334,0.28611746430397034,0.25295060873031616,0.28350892663002014,0.21304215490818024,0.2658439874649048,0.21114486455917358,0.2545539438724518,0.2264191061258316,0.2588759660720825,0.2190406322479248,0.25617387890815735,0.2390095442533493,0.30043327808380127,0.24333244562149048,0.2729722857475281,0.23042325675487518,0.25938501954078674,0.20583699443230621,0.24624483273072992
weather,336,0.2575580281716527,0.28329122832030995,0.2639539837837219,0.28825294971466064,0.2755826413631439,0.2966414988040924,0.30197423696517944,0.31900888681411743,0.30254876613616943,0.3172979950904846,0.26343536376953125,0.3086055517196655,0.2717088758945465,0.29633083939552307,0.2805626690387726,0.2987540364265442,0.2753213346004486,0.29569974541664124,0.3027713894844055,0.3591051697731018,0.2935345470905304,0.30875444412231445,0.2829121947288513,0.2967873215675354,0.2624896249009338,0.2888913953952286
weather,720,0.3385557441235448,0.33624643932821463,0.34301629662513733,0.34186428785324097,0.35015812516212463,0.34560149908065796,0.3718358874320984,0.3621978163719177,0.3720264434814453,0.3604784309864044,0.3387443423271179,0.3671630322933197,0.3563435673713684,0.35059434175491333,0.3603188693523407,0.34973570704460144,0.35196372866630554,0.34583067893981934,0.35780173540115356,0.3989208936691284,0.3669140934944153,0.35547786951065063,0.35947564244270325,0.34557268023490906,0.3447168182813452,0.34457911015224074
electricity,96,0.13973544543994398,0.2344177716044732,0.13745570182800293,0.23449137806892395,0.1413920819759369,0.2344805747270584,0.2062828540802002,0.2876940369606018,0.2099839448928833,0.2806510031223297,0.18481771647930145,0.27167949080467224,0.14445221424102783,0.2404378056526184,0.1478460133075714,0.23986370861530304,0.16634152829647064,0.2521957755088806,0.19456423819065094,0.2773839831352234,0.20975777506828308,0.279826283454895,0.18439264595508575,0.25876283645629883,0.1389417925197132,0.2332157010335008
electricity,192,0.15438063607403169,0.24709998306313402,0.15692611038684845,0.2520286440849304,0.15549464523792267,0.24714484810829163,0.20551545917987823,0.2895432412624359,0.20551154017448425,0.2808113694190979,0.18908950686454773,0.27628815174102783,0.16210322082042694,0.25628361105918884,0.1630818098783493,0.2547614574432373,0.1746583878993988,0.2606467604637146,0.19380542635917664,0.2797583043575287,0.20551900565624237,0.28075385093688965,0.17802974581718445,0.2567254602909088,0.154766582572324,0.2473285737257175
electricity,336,0.17139908223585978,0.2647643349280261,0.17231066524982452,0.2688722610473633,0.1724998503923416,0.26470619440078735,0.2194596379995346,0.3033126890659332,0.2187333106994629,0.2963319420814514,0.2053210735321045,0.2945186197757721,0.184602290391922,0.28152531385421753,0.17672975361347198,0.2710563838481903,0.19044287502765656,0.27709999680519104,0.20672845840454102,0.29587873816490173,0.2184697538614273,0.29525965452194214,0.2067832499742508,0.28293779492378235,0.17183536494620072,0.26491867567750577
electricity,720,0.2089435026498218,0.29622841873287337,0.21114085614681244,0.3043377995491028,0.21063557267189026,0.2968824803829193,0.2604956030845642,0.33489754796028137,0.2601870894432068,0.32834234833717346,0.2554318904876709,0.34267500042915344,0.26031455397605896,0.3438429534435272,0.20887112617492676,0.29781970381736755,0.2331569790840149,0.31361740827560425,0.24211779236793518,0.32809144258499146,0.26017746329307556,0.32869940996170044,0.23428267240524292,0.3066548705101013,0.20934712997287092,0.2967681436758062
traffic,96,0.4484165918057793,0.28933570056754626,0.4219597578048706,0.26678770780563354,0.4811263084411621,0.31481269001960754,0.6579460501670837,0.39802396297454834,0.6632261872291565,0.3924395740032196,0.546420693397522,0.3548300862312317,0.41720446944236755,0.28530439734458923,0.3870082199573517,0.26306799054145813,0.47421544790267944,0.30426889657974243,0.661794900894165,0.4103458821773529,0.6627912521362305,0.3929395377635956,0.4963602239957273,0.2920030341237185,0.45379215797943245,0.28777214128683487
traffic,192,0.45732854138839935,0.29538255090500903,0.4449966847896576,0.28036490082740784,0.4831235706806183,0.3149402141571045,0.6081821322441101,0.3756004571914673,0.6113904714584351,0.3655189871788025,0.5478094220161438,0.34982672333717346,0.438961386680603,0.2906910479068756,0.4092092514038086,0.2759467363357544,0.47798019647598267,0.3033086657524109,0.6108559370040894,0.3841077983379364,0.6115205883979797,0.368522047996521,0.46637023062658955,0.27260380709664556,0.4646030014319113,0.2949849248573512
traffic,336,0.4701608300287612,0.3018934789425133,0.4616840183734894,0.28806832432746887,0.476717472076416,0.303751140832901,0.6158593893051147,0.37767845392227173,0.617026686668396,0.3680407702922821,0.5728921890258789,0.3575168550014496,0.45751357078552246,0.29947519302368164,0.4132896065711975,0.2778241038322449,0.4912334382534027,0.30851566791534424,0.615199625492096,0.38449835777282715,0.6171572804450989,0.3674338161945343,0.48164954301820895,0.2796298620689192,0.48380754231699796,0.2963926587505513
traffic,720,0.5090763644755636,0.3173735588548917,0.4980546832084656,0.30612456798553467,0.5026708245277405,0.3197212219238281,0.661274254322052,0.41368183493614197,0.6547159552574158,0.38750746846199036,0.6248689889907837,0.38110440969467163,0.49540919065475464,0.31950849294662476,0.43802881240844727,0.29041412472724915,0.5246371030807495,0.327362596988678,0.6573818325996399,0.4078359305858612,0.6544039845466614,0.3882283866405487,0.5124392730710207,0.2978255347171134,0.5145731650669414,0.3111161803009401
PEMS03,12,0.0700812364580122,0.17988562876567646,0.05989682301878929,0.16076910495758057,0.08074407279491425,0.19348108768463135,0.12001078575849533,0.23020026087760925,0.15972057631346895,0.2810597796548598,0.0805475115776062,0.18980887532234192,0.06746017187833786,0.17250944674015045,0.06709934771060944,0.17141462862491608,0.08683314174413681,0.19565826654434204,0.10339632630348206,0.21670156717300415,0.18540608882904053,0.296534925699234,0.09807339428777577,0.20850360885285268,0.06764451171706107,0.17311358325323056
PEMS03,24,0.09370700360347142,0.20861309785904053,0.0763738602399826,0.18203113973140717,0.1248183622956276,0.24172361195087433,0.2394111454486847,0.32832077145576477,0.32168424129486084,0.4231143593788147,0.12233417481184006,0.2359355092048645,0.09543900191783905,0.20446136593818665,0.0927206501364708,0.20231454074382782,0.1391206979751587,0.24961921572685242,0.18015779554843903,0.29369163513183594,0.3241387605667114,0.3972198963165283,0.16621950458770202,0.2714748702541643,0.09697372788782094,0.20802819837307301
PEMS03,48,0.13882099086656102,0.24522875917631637,0.10813553631305695,0.21567097306251526,0.20829887688159943,0.31712162494659424,0.5470492839813232,0.5254224538803101,0.44370871782302856,0.5104646682739258,0.19749866425991058,0.30530333518981934,0.14990073442459106,0.2607572078704834,0.14899951219558716,0.25836747884750366,0.25270646810531616,0.3436179459095001,0.3180282711982727,0.4098265767097473,0.6500186324119568,0.5855863094329834,0.32492625363244354,0.39143672466808965,0.15882029791845115,0.2674038272639127
PEMS03,96,0.18478179329999736,0.2786528187701882,0.14159342646598816,0.25235241651535034,0.29904142022132874,0.3845345675945282,1.0679467916488647,0.7935665845870972,0.5239710211753845,0.5648054480552673,0.2653208076953888,0.3648478090763092,0.23060376942157745,0.32765302062034607,0.22716641426086426,0.3274228274822235,0.43325722217559814,0.4702683389186859,0.4540484845638275,0.5092261433601379,1.1865453720092773,0.8464546799659729,0.5515327796224846,0.5252846340629886,0.251073853313313,0.3421638703557273
PEMS04,12,0.08806900410423699,0.19964866284837596,0.06787731498479843,0.16881413757801056,0.0934174656867981,0.20889517664909363,0.13351035118103027,0.24610035121440887,0.16794539485762192,0.2892021122582127,0.09576735645532608,0.20692798495292664,0.0775541439652443,0.1835460215806961,0.08466869592666626,0.18856604397296906,0.10087845474481583,0.20962141454219818,0.11387927830219269,0.22800074517726898,0.19666960835456848,0.31276872754096985,0.11646454387765852,0.2291748671645306,0.07952950700001492,0.18650122081265819
PEMS04,24,0.11484821211997356,0.2309019387313848,0.07915566116571426,0.18397538363933563,0.1301552653312683,0.25063058733940125,0.2548922300338745,0.3466920554637909,0.3238491415977478,0.42312511801719666,0.1436293125152588,0.2597993314266205,0.09704479575157166,0.20921590924263,0.11598598212003708,0.2228662222623825,0.16110190749168396,0.26760709285736084,0.18767514824867249,0.30062201619148254,0.3362785279750824,0.41453322768211365,0.1984203423921864,0.3030454502358161,0.10832855631636436,0.22077236067104697
PEMS04,48,0.14733540860692018,0.2609841786164911,0.09853562712669373,0.2092662751674652,0.19622166454792023,0.3148329257965088,0.5758996605873108,0.5464926958084106,0.4447318911552429,0.5038568377494812,0.22439295053482056,0.330071359872818,0.13598473370075226,0.254036545753479,0.17713943123817444,0.28037357330322266,0.29633593559265137,0.3720419406890869,0.3183562755584717,0.4052181839942932,0.6750228404998779,0.6085198521614075,0.39335275094380096,0.4377004548075518,0.1707029308599732,0.2812455652781018
PEMS04,96,0.17677543557084663,0.28608108290083006,0.12302212417125702,0.23449435830116272,0.2463838905096054,0.3627537190914154,1.1731433868408203,0.8427734971046448,0.5069230198860168,0.5422043800354004,0.2890251576900482,0.38126495480537415,0.2008068859577179,0.3148347735404968,0.2728925347328186,0.35758110880851746,0.5128247737884521,0.5083620548248291,0.42406243085861206,0.48018306493759155,1.267011046409607,0.887286365032196,0.6990224614870949,0.6044743216626377,0.26341813952530724,0.3608414491392328
PEMS07,12,0.06831292999257803,0.17350168863131735,0.051688890904188156,0.14501740038394928,0.0765509158372879,0.1851307600736618,0.11320488899946213,0.22700625658035278,0.15947780266870185,0.2873712455340029,0.07637016475200653,0.18303853273391724,0.06176598370075226,0.15998688340187073,0.06449693441390991,0.16244111955165863,0.0815201997756958,0.18947811424732208,0.09960801154375076,0.2138722985982895,0.17938554286956787,0.2995176911354065,0.08925219917087507,0.20030698341536238,0.06206769980922821,0.16140970143722155
PEMS07,24,0.09390762851204291,0.20329791629218644,0.0634087398648262,0.1610792726278305,0.12224359065294266,0.23362086713314056,0.23571327328681946,0.33256444334983826,0.3502029776573181,0.44837579131126404,0.12611083686351776,0.23794017732143402,0.08546534180641174,0.1886475384235382,0.0899365022778511,0.19155141711235046,0.14177773892879486,0.25219690799713135,0.18840716779232025,0.3001418709754944,0.32710468769073486,0.4064851701259613,0.16186992343201576,0.2706927760627326,0.08844696366837541,0.19392885608758664
