task_id,model,dataset,seq_len,pred_len,seed,profile,config_source,completion_status,mse,mae,mape,rmse,param_count,t_train,t_inf,forward_ms_per_sample,test_peak_gpu_mem_mb,train_peak_gpu_mem_mb,n_test_samples,strict_eval,strict_protocol_version,result_dir,checkpoint_path,metrics_path,config_path,audit_error
10,PhaseFormer,ETTm1,96,336,2026,phase_p24_l1_d8_h1_r8,completion_0716v2_locked_profile,ok,0.4128594334828244,0.4027578091750074,2.295526245913117,0.6425413865914198,1598,215.1580970287323,3.4653873443603516,0.08443533981537008,34.783203125,68.02099609375,11185,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm1_l96_h336_s2026_PhaseFormer_ETTm1_ftM_sl96_pl336_cycle96_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm1_l96_h336_s2026_PhaseFormer_ETTm1_ftM_sl96_pl336_cycle96_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm1_l96_h336_s2026_PhaseFormer_ETTm1_ftM_sl96_pl336_cycle96_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm1_l96_h336_s2026_PhaseFormer_ETTm1_ftM_sl96_pl336_cycle96_seed2026/phaseformer_seed2026_config.json,
11,PhaseFormer,ETTm1,96,720,2026,phase_p24_l2_d8_h1_r8,completion_0716v2_locked_profile,ok,0.4688292087827469,0.43460795473301955,2.472784186190196,0.6847110403540656,3250,536.8611710071564,3.7720816135406494,0.12222871936246965,35.966796875,71.02392578125,10801,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm1_l96_h720_s2026_PhaseFormer_ETTm1_ftM_sl96_pl720_cycle96_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm1_l96_h720_s2026_PhaseFormer_ETTm1_ftM_sl96_pl720_cycle96_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm1_l96_h720_s2026_PhaseFormer_ETTm1_ftM_sl96_pl720_cycle96_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm1_l96_h720_s2026_PhaseFormer_ETTm1_ftM_sl96_pl720_cycle96_seed2026/phaseformer_seed2026_config.json,
12,PhaseFormer,ETTm2,96,96,2026,phase_p24_l2_d8_h1_r8,completion_0716v2_locked_profile,ok,0.18104845847127865,0.2631335046125378,1.1549988907762168,0.4254978947906542,3016,466.3888647556305,3.8301029205322266,0.12388108214373646,34.40478515625,69.8095703125,11425,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm2_l96_h96_s2026_PhaseFormer_ETTm2_ftM_sl96_pl96_cycle96_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm2_l96_h96_s2026_PhaseFormer_ETTm2_ftM_sl96_pl96_cycle96_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm2_l96_h96_s2026_PhaseFormer_ETTm2_ftM_sl96_pl96_cycle96_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm2_l96_h96_s2026_PhaseFormer_ETTm2_ftM_sl96_pl96_cycle96_seed2026/phaseformer_seed2026_config.json,
13,PhaseFormer,ETTm2,96,192,2026,phase_p24_l1_d8_h1_r8,completion_0716v2_locked_profile,ok,0.24556280912428824,0.30577653737130595,1.262464340083915,0.4955429437740873,1544,274.2203631401062,3.500375270843506,0.09337623933199388,34.4228515625,67.72216796875,11329,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm2_l96_h192_s2026_PhaseFormer_ETTm2_ftM_sl96_pl192_cycle96_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm2_l96_h192_s2026_PhaseFormer_ETTm2_ftM_sl96_pl192_cycle96_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm2_l96_h192_s2026_PhaseFormer_ETTm2_ftM_sl96_pl192_cycle96_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm2_l96_h192_s2026_PhaseFormer_ETTm2_ftM_sl96_pl192_cycle96_seed2026/phaseformer_seed2026_config.json,
14,PhaseFormer,ETTm2,96,336,2026,phase_p24_l1_d8_h1_r8,completion_0716v2_locked_profile,ok,0.30545513908678434,0.34353770416564533,1.3735524067976375,0.5526799608152845,1598,190.75927329063416,3.51656436920166,0.08637282943663636,34.783203125,68.02099609375,11185,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm2_l96_h336_s2026_PhaseFormer_ETTm2_ftM_sl96_pl336_cycle96_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm2_l96_h336_s2026_PhaseFormer_ETTm2_ftM_sl96_pl336_cycle96_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm2_l96_h336_s2026_PhaseFormer_ETTm2_ftM_sl96_pl336_cycle96_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm2_l96_h336_s2026_PhaseFormer_ETTm2_ftM_sl96_pl336_cycle96_seed2026/phaseformer_seed2026_config.json,
15,PhaseFormer,ETTm2,96,720,2026,phase_p24_l1_d8_h1_r8,completion_0716v2_locked_profile,ok,0.4086030234014539,0.4054543432243527,1.589028624142855,0.6392206374965173,1742,190.0050709247589,3.504305839538574,0.08750961277379626,35.74462890625,68.8193359375,10801,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm2_l96_h720_s2026_PhaseFormer_ETTm2_ftM_sl96_pl720_cycle96_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm2_l96_h720_s2026_PhaseFormer_ETTm2_ftM_sl96_pl720_cycle96_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm2_l96_h720_s2026_PhaseFormer_ETTm2_ftM_sl96_pl720_cycle96_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm2_l96_h720_s2026_PhaseFormer_ETTm2_ftM_sl96_pl720_cycle96_seed2026/phaseformer_seed2026_config.json,
16,PhaseFormer,weather,96,96,2026,phase_p24_l3_d8_h1_r8,locked_0713v1_0716v1_reproduction_profile,ok,0.18267441883450128,0.21924868256290175,15.63321879171104,0.4274042803184138,4524,580.4541299343109,2.603281021118164,0.17360209331147541,37.021484375,85.59228515625,10444,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_weather_l96_h96_s2026_PhaseFormer_custom_ftM_sl96_pl96_cycle144_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_weather_l96_h96_s2026_PhaseFormer_custom_ftM_sl96_pl96_cycle144_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_weather_l96_h96_s2026_PhaseFormer_custom_ftM_sl96_pl96_cycle144_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_weather_l96_h96_s2026_PhaseFormer_custom_ftM_sl96_pl96_cycle144_seed2026/phaseformer_seed2026_config.json,
17,PhaseFormer,weather,96,192,2026,phase_p24_l2_d8_h1_r8,locked_0713v1_0716v1_reproduction_profile,ok,0.23000568186243497,0.2596564088428903,16.404055151960446,0.4795890760457696,3052,434.2680826187134,1.796205997467041,0.10268134550692494,37.65478515625,79.4853515625,10348,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_weather_l96_h192_s2026_PhaseFormer_custom_ftM_sl96_pl192_cycle144_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_weather_l96_h192_s2026_PhaseFormer_custom_ftM_sl96_pl192_cycle144_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_weather_l96_h192_s2026_PhaseFormer_custom_ftM_sl96_pl192_cycle144_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_weather_l96_h192_s2026_PhaseFormer_custom_ftM_sl96_pl192_cycle144_seed2026/phaseformer_seed2026_config.json,
18,PhaseFormer,weather,96,336,2026,phase_p24_l2_d8_h1_r8,locked_0713v1_0716v1_reproduction_profile,ok,0.2850880553572985,0.2979718905838555,16.228018308066368,0.5339363776306111,3106,415.39920234680176,2.0798912048339844,0.12159238971244732,38.63037109375,80.4453125,10204,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_weather_l96_h336_s2026_PhaseFormer_custom_ftM_sl96_pl336_cycle144_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_weather_l96_h336_s2026_PhaseFormer_custom_ftM_sl96_pl336_cycle144_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_weather_l96_h336_s2026_PhaseFormer_custom_ftM_sl96_pl336_cycle144_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_weather_l96_h336_s2026_PhaseFormer_custom_ftM_sl96_pl336_cycle144_seed2026/phaseformer_seed2026_config.json,
19,PhaseFormer,weather,96,720,2026,phase_p24_l2_d8_h1_r8,locked_0713v1_0716v1_reproduction_profile,ok,0.35917690791938617,0.3459766535112235,16.492038368141394,0.5993136974234663,3250,431.6236877441406,1.8847594261169434,0.10538193260714537,41.380859375,84.03271484375,9820,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_weather_l96_h720_s2026_PhaseFormer_custom_ftM_sl96_pl720_cycle144_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_weather_l96_h720_s2026_PhaseFormer_custom_ftM_sl96_pl720_cycle144_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_weather_l96_h720_s2026_PhaseFormer_custom_ftM_sl96_pl720_cycle144_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_weather_l96_h720_s2026_PhaseFormer_custom_ftM_sl96_pl720_cycle144_seed2026/phaseformer_seed2026_config.json,
20,PhaseFormer,electricity,96,96,2026,phase_p24_l2_d8_h1_r8,locked_0713v1_0716v1_reproduction_profile,ok,0.18628785652196947,0.2595689609095427,2.734378264069506,0.43161076970109247,3016,401.3481996059418,1.9460866451263428,0.17624675082236652,105.85009765625,290.5947265625,5165,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_electricity_l96_h96_s2026_PhaseFormer_custom_ftM_sl96_pl96_cycle168_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_electricity_l96_h96_s2026_PhaseFormer_custom_ftM_sl96_pl96_cycle168_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_electricity_l96_h96_s2026_PhaseFormer_custom_ftM_sl96_pl96_cycle168_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_electricity_l96_h96_s2026_PhaseFormer_custom_ftM_sl96_pl96_cycle168_seed2026/phaseformer_seed2026_config.json,
21,PhaseFormer,electricity,96,192,2026,phase_p24_l1_d128_h4_r4,locked_0713v1_0716v1_reproduction_profile,ok,0.1801174889405785,0.25826916978170916,2.855290702770242,0.42440250816951886,269832,491.4263298511505,2.426370859146118,0.2434767253169524,791.337890625,1639.90185546875,5069,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_electricity_l96_h192_s2026_PhaseFormer_custom_ftM_sl96_pl192_cycle168_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_electricity_l96_h192_s2026_PhaseFormer_custom_ftM_sl96_pl192_cycle168_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_electricity_l96_h192_s2026_PhaseFormer_custom_ftM_sl96_pl192_cycle168_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_electricity_l96_h192_s2026_PhaseFormer_custom_ftM_sl96_pl192_cycle168_seed2026/phaseformer_seed2026_config.json,
22,PhaseFormer,electricity,96,336,2026,phase_p24_l2_d8_h1_r8,locked_0713v1_0716v1_reproduction_profile,ok,0.20834218313123215,0.2844660814051734,2.8153845732530733,0.4564451589525648,3106,482.2297830581665,2.2226450443267822,0.18372508731486303,129.44873046875,315.234375,4925,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_electricity_l96_h336_s2026_PhaseFormer_custom_ftM_sl96_pl336_cycle168_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_electricity_l96_h336_s2026_PhaseFormer_custom_ftM_sl96_pl336_cycle168_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_electricity_l96_h336_s2026_PhaseFormer_custom_ftM_sl96_pl336_cycle168_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_electricity_l96_h336_s2026_PhaseFormer_custom_ftM_sl96_pl336_cycle168_seed2026/phaseformer_seed2026_config.json,
