status,backbone,dataset,seq_len,pred_len,seed,baseline_mse,stack_mse,delta_mse,delta_mse_pct,baseline_mae,stack_mae,val_mse,baseline_params,added_params,total_params,param_increase_pct,baseline_real_scalar_equiv,total_real_scalar_equiv,fusion_gate,base_lr,adapter_lr,loss,alpha,lpf,period_len,latent_dim,phase_layers,t_train_seconds,forward_ms_per_sample,test_peak_gpu_mem_mb,train_peak_gpu_mem_mb,n_test_samples,train_job_id,train_job_state,train_job_elapsed,test_job_id,test_job_state,test_job_elapsed,baseline_summary_path,metrics_path,checkpoint_path,audit_errors,run_id,code_sha256
ok,mixlinear,weather,96,96,2023,0.1995440125465393,0.17734954614465004,-0.022194466401889268,-11.122592012984049,0.24124681949615479,0.22467379051041939,0.42962112456036566,105,945,1050,900.0,155,1100,0.31700679659843445,0.02,0.005,mse,0.99,1,4,,,146.3334255218506,0.1420994208607008,39.72314453125,74.40625,10444,28799582,COMPLETED,00:02:38,28799583,COMPLETED,00:00:14,/scratch3/lin250/bldgFM/DUBABA/AsySpecX/baseline_2026_results/iclr26_baselines_l96_0716v1/mixlinear/weather/mixlinear_weather_sl96_pl96_a0p99_lpf1/run_summary.json,results/a2estack_a2estacks_0716v1_20260716_024250_mixlinear_weather_l96_h96_s2023_MixLinearAsy2Echo_custom_ftM_sl96_pl96_cycle144_seed2023/metrics_summary.csv,checkpoints/asy2echo_stacks/a2estack_a2estacks_0716v1_20260716_024250_mixlinear_weather_l96_h96_s2023_MixLinearAsy2Echo_custom_ftM_sl96_pl96_cycle144_seed2023/checkpoint.pth,,a2estacks_0716v1_20260716_024250,96f8a84ac3ac894c5825555a597d79e2d03f01d91f09bacefd3e078e9f32829d
ok,mixlinear,weather,96,192,2023,0.24444447457790375,0.22828877961410524,-0.01615569496379851,-6.609147125004758,0.2772573232650757,0.2657824837285819,0.5065703423835637,173,1145,1318,661.849710982659,271,1416,0.26541802287101746,0.02,0.005,mse,0.5,1,4,,,155.5442612171173,0.14246330530086412,46.02197265625,81.9248046875,10348,28799584,COMPLETED,00:02:48,28799585,COMPLETED,00:00:15,/scratch3/lin250/bldgFM/DUBABA/AsySpecX/baseline_2026_results/iclr26_baselines_l96_0716v1/mixlinear/weather/mixlinear_weather_sl96_pl192_a0p5_lpf1/run_summary.json,results/a2estack_a2estacks_0716v1_20260716_024250_mixlinear_weather_l96_h192_s2023_MixLinearAsy2Echo_custom_ftM_sl96_pl192_cycle144_seed2023/metrics_summary.csv,checkpoints/asy2echo_stacks/a2estack_a2estacks_0716v1_20260716_024250_mixlinear_weather_l96_h192_s2023_MixLinearAsy2Echo_custom_ftM_sl96_pl192_cycle144_seed2023/checkpoint.pth,,a2estacks_0716v1_20260716_024250,96f8a84ac3ac894c5825555a597d79e2d03f01d91f09bacefd3e078e9f32829d
ok,mixlinear,weather,96,336,2023,0.29659631848335266,0.28254774021012724,-0.01404857827322542,-4.736599006037204,0.3133407235145569,0.3036143588241528,0.5973291894035968,275,1149,1424,417.8181818181818,445,1594,0.3176840841770172,0.02,0.005,mse,0.01,1,4,,,177.78046464920044,0.14360569173237217,57.1337890625,95.7509765625,10204,28799586,COMPLETED,00:03:11,28799587,COMPLETED,00:00:15,/scratch3/lin250/bldgFM/DUBABA/AsySpecX/baseline_2026_results/iclr26_baselines_l96_0716v1/mixlinear/weather/mixlinear_weather_sl96_pl336_a0p01_lpf1/run_summary.json,results/a2estack_a2estacks_0716v1_20260716_024250_mixlinear_weather_l96_h336_s2023_MixLinearAsy2Echo_custom_ftM_sl96_pl336_cycle144_seed2023/metrics_summary.csv,checkpoints/asy2echo_stacks/a2estack_a2estacks_0716v1_20260716_024250_mixlinear_weather_l96_h336_s2023_MixLinearAsy2Echo_custom_ftM_sl96_pl336_cycle144_seed2023/checkpoint.pth,,a2estacks_0716v1_20260716_024250,96f8a84ac3ac894c5825555a597d79e2d03f01d91f09bacefd3e078e9f32829d
ok,mixlinear,weather,96,720,2023,0.3703329265117645,0.35768463855516464,-0.01264828795659989,-3.415383038104792,0.360758900642395,0.35202948154699937,0.7265813128838844,507,1157,1664,228.2051282051282,869,2026,0.34105169773101807,0.02,0.005,mse,0.01,1,4,,,185.25228071212769,0.14731448699479313,81.6064453125,127.22998046875,9820,28799588,COMPLETED,00:03:18,28799589,COMPLETED,00:00:15,/scratch3/lin250/bldgFM/DUBABA/AsySpecX/baseline_2026_results/iclr26_baselines_l96_0716v1/mixlinear/weather/mixlinear_weather_sl96_pl720_a0p01_lpf1/run_summary.json,results/a2estack_a2estacks_0716v1_20260716_024250_mixlinear_weather_l96_h720_s2023_MixLinearAsy2Echo_custom_ftM_sl96_pl720_cycle144_seed2023/metrics_summary.csv,checkpoints/asy2echo_stacks/a2estack_a2estacks_0716v1_20260716_024250_mixlinear_weather_l96_h720_s2023_MixLinearAsy2Echo_custom_ftM_sl96_pl720_cycle144_seed2023/checkpoint.pth,,a2estacks_0716v1_20260716_024250,96f8a84ac3ac894c5825555a597d79e2d03f01d91f09bacefd3e078e9f32829d
ok,mixlinear,weather,720,96,2023,0.1793045997619629,0.14972362371296993,-0.029580976048992957,-16.49761137654215,0.23715822398662567,0.20562746489141018,0.38929509888291897,195,3441,3636,1764.6153846153845,245,3686,0.07454720884561539,0.02,0.005,mse,0.99,1,4,,,128.2885730266571,0.14408663923241133,59.32958984375,105.830078125,10444,28799590,COMPLETED,00:02:20,28799591,COMPLETED,00:00:16,/scratch3/lin250/bldgFM/DUBABA/AsySpecX/baseline_2026_results/iclr26_baselines_0713v1/mixlinear/weather/mixlinear_weather_sl720_pl96_a0p99_lpf1/run_summary.json,results/a2estack_a2estacks_0716v1_20260716_024250_mixlinear_weather_l720_h96_s2023_MixLinearAsy2Echo_custom_ftM_sl720_pl96_cycle144_seed2023/metrics_summary.csv,checkpoints/asy2echo_stacks/a2estack_a2estacks_0716v1_20260716_024250_mixlinear_weather_l720_h96_s2023_MixLinearAsy2Echo_custom_ftM_sl720_pl96_cycle144_seed2023/checkpoint.pth,,a2estacks_0716v1_20260716_024250,96f8a84ac3ac894c5825555a597d79e2d03f01d91f09bacefd3e078e9f32829d
ok,mixlinear,weather,720,192,2023,0.2218078225851059,0.19381977870601302,-0.027988043879092872,-12.618150051202132,0.27411171793937683,0.2478639465056995,0.4498990960438436,299,3641,3940,1217.7257525083612,397,4038,0.0990186333656311,0.02,0.005,mse,0.99,1,4,,,151.39470314979553,0.14054193269428272,62.51123046875,111.486328125,10348,28799592,COMPLETED,00:02:44,28799593,COMPLETED,00:00:11,/scratch3/lin250/bldgFM/DUBABA/AsySpecX/baseline_2026_results/iclr26_baselines_0713v1/mixlinear/weather/mixlinear_weather_sl720_pl192_a0p99_lpf1/run_summary.json,results/a2estack_a2estacks_0716v1_20260716_024250_mixlinear_weather_l720_h192_s2023_MixLinearAsy2Echo_custom_ftM_sl720_pl192_cycle144_seed2023/metrics_summary.csv,checkpoints/asy2echo_stacks/a2estack_a2estacks_0716v1_20260716_024250_mixlinear_weather_l720_h192_s2023_MixLinearAsy2Echo_custom_ftM_sl720_pl192_cycle144_seed2023/checkpoint.pth,,a2estacks_0716v1_20260716_024250,96f8a84ac3ac894c5825555a597d79e2d03f01d91f09bacefd3e078e9f32829d
ok,mixlinear,weather,720,336,2023,0.26743242144584656,0.2530796497597245,-0.014352771686122034,-5.366877960617196,0.3077290952205658,0.2926184673640472,0.5234473946592834,455,3645,4100,801.0989010989011,625,4270,0.1017918586730957,0.02,0.005,mse,0.99,1,4,,,242.48034024238586,0.14497142654570913,68.72265625,122.2412109375,10204,28799594,COMPLETED,00:04:16,28799595,COMPLETED,00:00:15,/scratch3/lin250/bldgFM/DUBABA/AsySpecX/baseline_2026_results/iclr26_baselines_0713v1/mixlinear/weather/mixlinear_weather_sl720_pl336_a0p99_lpf1/run_summary.json,results/a2estack_a2estacks_0716v1_20260716_024250_mixlinear_weather_l720_h336_s2023_MixLinearAsy2Echo_custom_ftM_sl720_pl336_cycle144_seed2023/metrics_summary.csv,checkpoints/asy2echo_stacks/a2estack_a2estacks_0716v1_20260716_024250_mixlinear_weather_l720_h336_s2023_MixLinearAsy2Echo_custom_ftM_sl720_pl336_cycle144_seed2023/checkpoint.pth,,a2estacks_0716v1_20260716_024250,96f8a84ac3ac894c5825555a597d79e2d03f01d91f09bacefd3e078e9f32829d
ok,mixlinear,weather,720,720,2023,0.32921239733695984,0.31360035666614827,-0.015612040670811567,-4.742239598842362,0.3508678376674652,0.33741852567489955,0.6066782309100139,759,3653,4412,481.29117259552044,1121,4774,0.08077120035886765,0.02,0.005,mse,0.01,1,4,,,155.37273025512695,0.15104073431729784,91.40625,143.8251953125,9820,28799596,COMPLETED,00:02:49,28799597,COMPLETED,00:00:15,/scratch3/lin250/bldgFM/DUBABA/AsySpecX/baseline_2026_results/iclr26_baselines_0713v1/mixlinear/weather/mixlinear_weather_sl720_pl720_a0p01_lpf1/run_summary.json,results/a2estack_a2estacks_0716v1_20260716_024250_mixlinear_weather_l720_h720_s2023_MixLinearAsy2Echo_custom_ftM_sl720_pl720_cycle144_seed2023/metrics_summary.csv,checkpoints/asy2echo_stacks/a2estack_a2estacks_0716v1_20260716_024250_mixlinear_weather_l720_h720_s2023_MixLinearAsy2Echo_custom_ftM_sl720_pl720_cycle144_seed2023/checkpoint.pth,,a2estacks_0716v1_20260716_024250,96f8a84ac3ac894c5825555a597d79e2d03f01d91f09bacefd3e078e9f32829d
ok,mixlinear,electricity,96,96,2023,0.20989830791950226,0.16527484842212725,-0.044623459497375006,-21.2595613274255,0.28103968501091003,0.25738557189155614,0.14341907099995838,47,1269,1316,2700.0,61,1330,-0.20079775154590607,0.03,0.005,mse,0.5,3,24,,,346.83713817596436,0.2820879916975136,147.13134765625,225.24658203125,5165,28799598,COMPLETED,00:06:02,28799599,COMPLETED,00:00:23,/scratch3/lin250/bldgFM/DUBABA/AsySpecX/baseline_2026_results/iclr26_baselines_l96_0716v1/mixlinear/electricity/mixlinear_electricity_sl96_pl96_a0p5_lpf3/run_summary.json,results/a2estack_a2estacks_0716v1_20260716_024250_mixlinear_electricity_l96_h96_s2023_MixLinearAsy2Echo_custom_ftM_sl96_pl96_cycle168_seed2023/metrics_summary.csv,checkpoints/asy2echo_stacks/a2estack_a2estacks_0716v1_20260716_024250_mixlinear_electricity_l96_h96_s2023_MixLinearAsy2Echo_custom_ftM_sl96_pl96_cycle168_seed2023/checkpoint.pth,,a2estacks_0716v1_20260716_024250,96f8a84ac3ac894c5825555a597d79e2d03f01d91f09bacefd3e078e9f32829d
ok,mixlinear,electricity,96,192,2023,0.20678608119487762,0.17208562226623272,-0.0347004589286449,-16.780848463365764,0.28264814615249634,0.2630744034127994,0.14945937621242214,57,1565,1622,2745.6140350877195,77,1642,0.618834376335144,0.03,0.005,mse,0.99,2,24,,,381.6596956253052,0.28204650490076777,245.13330078125,330.2578125,5069,28799600,COMPLETED,00:06:37,28799601,COMPLETED,00:00:17,/scratch3/lin250/bldgFM/DUBABA/AsySpecX/baseline_2026_results/iclr26_baselines_l96_0716v1/mixlinear/electricity/mixlinear_electricity_sl96_pl192_a0p99_lpf2/run_summary.json,results/a2estack_a2estacks_0716v1_20260716_024250_mixlinear_electricity_l96_h192_s2023_MixLinearAsy2Echo_custom_ftM_sl96_pl192_cycle168_seed2023/metrics_summary.csv,checkpoints/asy2echo_stacks/a2estack_a2estacks_0716v1_20260716_024250_mixlinear_electricity_l96_h192_s2023_MixLinearAsy2Echo_custom_ftM_sl96_pl192_cycle168_seed2023/checkpoint.pth,,a2estacks_0716v1_20260716_024250,96f8a84ac3ac894c5825555a597d79e2d03f01d91f09bacefd3e078e9f32829d
