arm,seed,val_mse,mse,mae,stage_a_val_same_seed,stage_a_mse_same_seed,val_delta_vs_stage_a,test_delta_vs_stage_a,test_win_vs_stage_a,n_param,t_train,t_inf,peak_cuda_mb,forecast_kernel_gate_mean,forecast_kernel_sm_gate_abs_max,job_id,summary_file
fk_r8_cs,2024,0.6856333,0.3420450985431671,0.33858221769332886,0.6856333,0.3420450985431671,0.0,0.0,0,75882,291.133,5.9246,139.18,0.04542383551597595,,28808343,phase11_results/stageb_confirm/fk_r8_cs/weather/sl96_pl720_cf13_sd2024/run_summary.json
fk_r8_cs,2025,0.6851448,0.34169289469718933,0.3383537530899048,0.6851448,0.34169289469718933,0.0,0.0,0,75882,419.6257,8.6285,139.18,0.045910973101854324,,28808344,phase11_results/stageb_confirm/fk_r8_cs/weather/sl96_pl720_cf13_sd2025/run_summary.json
fk_r8_cs,2026,0.6851406,0.34169113636016846,0.338338702917099,0.6851406,0.34169113636016846,0.0,0.0,0,75882,424.3769,3.9083,139.18,0.04691692814230919,,28808345,phase11_results/stageb_confirm/fk_r8_cs/weather/sl96_pl720_cf13_sd2026/run_summary.json
fk_sm4_mode,2024,0.6855943,0.3419477641582489,0.33852264285087585,0.6856333,0.3420450985431671,-3.900000000001125e-05,-9.733438491821289e-05,1,75986,298.4584,3.4225,139.23,0.038479529321193695,0.9432158470153809,28808346,phase11_results/stageb_confirm/fk_sm4_mode/weather/sl96_pl720_cf13_sd2024/run_summary.json
fk_sm4_mode,2025,0.6851183,0.3415960371494293,0.3383072018623352,0.6851448,0.34169289469718933,-2.650000000004038e-05,-9.685754776000977e-05,1,75986,458.5576,7.814,139.23,0.038991671055555344,0.9453927278518677,28808347,phase11_results/stageb_confirm/fk_sm4_mode/weather/sl96_pl720_cf13_sd2025/run_summary.json
fk_sm4_mode,2026,0.6851097,0.3415900766849518,0.3382854163646698,0.6851406,0.34169113636016846,-3.089999999994486e-05,-0.0001010596752166748,1,75986,452.5199,13.8086,139.23,0.03962854668498039,0.9462957382202148,28808348,phase11_results/stageb_confirm/fk_sm4_mode/weather/sl96_pl720_cf13_sd2026/run_summary.json
