dataset,seq_len,pred_len,arm,seeds,n_seeds,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std,mape_mean,mape_std,param_count,train_time_mean_s,test_peak_gpu_mem_mean_mb,our_compact_profile,source
ETTh1,96,96,true_compact_echo,"2024,2025,2026",3,0.3750604052349067,0.0006641369490647756,0.3923287765953505,0.0005910918701107411,9.68822428273947,0.08566817617249237,2242,28.950366020202637,41.22119140625,input=pcke+recent0;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTh1,96,192,true_compact_echo,"2024,2025,2026",3,0.42231090126032317,0.0005477222100436636,0.41777655641692857,0.00043173404474646854,9.864383680223725,0.046275030045102646,2370,29.94416340192159,47.88037109375,input=pcke+recent0;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTh1,96,336,true_compact_echo,"2024,2025,2026",3,0.4595741100426146,0.0008262607009041713,0.4364206349592047,0.00067739416310058,9.674394537148942,0.07961478619133477,2562,27.202557961146038,59.1689453125,input=pcke+recent0;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTh1,96,720,true_compact_echo,"2024,2025,2026",3,0.45977735283737237,0.0008652446894435526,0.4538036911911172,0.00042593246868156146,9.889338965009726,0.01755398508291033,3074,34.929500897725426,85.5283203125,input=pcke+recent0;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTh1,720,96,true_compact_echo,"2024,2025,2026",3,0.3528043852106795,0.00033637929316247453,0.391402503040677,0.0004679553572615679,9.44548614721793,0.11563339417411228,6146,34.21224101384481,61.212890625,input=pcke+recent96;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTh1,720,192,true_compact_echo,"2024,2025,2026",3,0.38875871877556606,0.0011995660760665669,0.4133553489437579,0.0011214358079833253,9.788888866803417,0.1436809695003338,6274,32.13147711753845,67.04345703125,input=pcke+recent96;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTh1,720,336,true_compact_echo,"2024,2025,2026",3,0.4175164320685205,0.0008518931369111953,0.43063318348536483,0.0006710242900217304,9.799080169022302,0.1652651106886849,6466,29.66997496287028,76.66259765625,input=pcke+recent96;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTh1,720,720,true_compact_echo,"2024,2025,2026",3,0.4358386222735263,0.009113546801485729,0.4578737296699502,0.0063791823054883245,9.992879901705347,0.2522958401490189,6978,36.51154716809591,101.61572265625,input=pcke+recent96;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTh2,96,96,true_compact_echo,"2024,2025,2026",3,0.2847804530839197,0.0006356000868113788,0.3351129108733952,0.000654783745293058,1.4204935436306692,0.015073203361010291,2242,22.76865617434184,41.22119140625,input=pcke+recent0;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTh2,96,192,true_compact_echo,"2024,2025,2026",3,0.3741459363188921,0.0017707804661071438,0.3923750780073297,0.0002196269306453077,1.6208731652318624,0.026158138087840888,2370,20.11625401178996,47.88037109375,input=pcke+recent0;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTh2,96,336,true_compact_echo,"2024,2025,2026",3,0.4237327003950373,0.0019122400230872476,0.434188320873713,0.004282661721328561,1.884932896245876,0.06403178354452854,2562,18.092164278030396,59.1689453125,input=pcke+recent0;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTh2,96,720,true_compact_echo,"2024,2025,2026",3,0.45082242321299554,0.0017173119704947737,0.45830650251250604,0.0016537997482567897,2.137050847509596,0.031585051831253964,3074,20.53157631556193,85.5283203125,input=pcke+recent0;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTh2,720,96,true_compact_echo,"2024,2025,2026",3,0.27183636185586063,0.0014288579006133358,0.33622367132836944,0.0015055800197561913,1.4684180756769774,0.01643627521267469,6146,19.549346923828125,61.212890625,input=pcke+recent96;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTh2,720,192,true_compact_echo,"2024,2025,2026",3,0.34257065129629816,0.01045861020745744,0.38434614478579954,0.008388589824557762,1.6499881650227737,0.038450553402487854,6274,18.487871487935383,67.04345703125,input=pcke+recent96;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTh2,720,336,true_compact_echo,"2024,2025,2026",3,0.3788769690770103,0.011077319015788826,0.41448211134220886,0.008584824014729056,1.8570056014564873,0.047312397316570935,6466,18.280039469401043,76.66259765625,input=pcke+recent96;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTh2,720,720,true_compact_echo,"2024,2025,2026",3,0.4107922921275708,0.013981709891213095,0.4471098261938487,0.009958181090576829,2.2164687425671614,0.08142859192144485,6978,19.788083871205647,101.61572265625,input=pcke+recent96;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTm1,96,96,true_compact_echo,"2024,2025,2026",3,0.3203779513138896,0.0013414563402409179,0.35841993311139525,0.001622133075309926,2.1829948004600306,0.012038387036772135,6074,32.599785248438515,41.25537109375,input=dct+recent0;output_kron=0;channel=independent;phase_gate=0,compact_true9_0719v1
ETTm1,96,192,true_compact_echo,"2024,2025,2026",3,0.3600282502310758,0.00016210165727432245,0.37729034604704276,0.0001118175991616022,2.2526311562705135,0.0014625347255758465,6138,37.933704694112144,47.91650390625,input=dct+recent0;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTm1,96,336,true_compact_echo,"2024,2025,2026",3,0.39031046592220464,0.0004524797238059321,0.39691447307228545,0.0003286894323396871,2.3080817612929825,0.009979454969974096,6202,40.44119532903036,59.2041015625,input=dct+recent0;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTm1,96,720,true_compact_echo,"2024,2025,2026",3,0.45049509006191263,0.000572930155959748,0.42941801988951256,0.00042856173356125784,2.458494414170946,0.005772082331238318,6330,49.92818999290466,85.87451171875,input=dct+recent0;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTm1,720,96,true_compact_echo,"2024,2025,2026",3,0.288290250063404,0.0003292126931388787,0.3422012131529091,0.000337867118957253,2.1763085780536002,0.002074215156213962,10426,61.76528151830038,61.22705078125,input=pcke+recent96;output_kron=0;channel=independent;phase_gate=0,compact_true9_0719v1
ETTm1,720,192,true_compact_echo,"2024,2025,2026",3,0.32585606796890215,0.0019090578539784496,0.36451246202562354,0.0013347660580324116,2.2605909658793624,0.007554188206141692,10490,57.04284119606018,68.3720703125,input=pcke+recent96;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTm1,720,336,true_compact_echo,"2024,2025,2026",3,0.35571871095958196,0.000966105585627797,0.38220478923143136,0.0008828169430380885,2.3115791412413604,0.0036274299354675343,10554,63.30623483657837,76.677734375,input=pcke+recent96;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
ETTm1,720,720,true_compact_echo,"2024,2025,2026",3,0.40520507211021006,0.00018941977484783888,0.40904080041888824,0.0001552406462558057,2.433455830839392,0.001551429520705177,10682,84.92836952209473,101.62939453125,input=pcke+recent96;output_kron=1;channel=independent;phase_gate=0,compact_true9_0719v1
