arm,dataset,seq_len,pred_len,seed,status,val_mse,mse,mae,cut_freq,periods,exit_code,job_id,log_file,val_mae,val_mae_seg0,val_mae_seg1,val_mae_seg2,val_mae_seg3,val_mse_seg0,val_mse_seg1,val_mse_seg2,val_mse_seg3
phase5_asx_cross,weather,720,720,2025,ok,0.5953971,0.3103954792022705,0.33448919653892517,31,144,0,28447766,logs/AsySpecX_phase5/phase5_asx_cross_weather_sl720_pl720_sd2025.log,0.4165805,0.4074737,0.4672629,0.3740466,0.4175396,0.4614688,0.9569619,0.3716894,0.5927848
phase5_asx_cross,weather,720,720,2026,ok,0.5895908,0.31533676385879517,0.3376379907131195,31,144,0,28447770,logs/AsySpecX_phase5/phase5_asx_cross_weather_sl720_pl720_sd2026.log,0.4140807,0.4092638,0.4563581,0.3691733,0.4215344,0.4658435,0.9395061,0.357998,0.5959769
phase5_asx_cross,weather,720,96,2024,ok,0.3895137,0.15078367292881012,0.20818546414375305,31,144,0,28447759,logs/AsySpecX_phase5/phase5_asx_cross_weather_sl720_pl96_sd2024.log,0.2880655,0.2449828,0.3500246,0.2717818,0.285471,0.157942,0.8003469,0.2414457,0.3728942
phase5_asx_cross,weather,720,96,2025,ok,0.3888459,0.15275585651397705,0.2091093510389328,31,144,0,28447763,logs/AsySpecX_phase5/phase5_asx_cross_weather_sl720_pl96_sd2025.log,0.2879201,0.2345729,0.3496044,0.2752044,0.2923022,0.149205,0.7884043,0.2442798,0.3863796
phase5_asx_cross,weather,720,96,2026,ok,0.3852068,0.15269769728183746,0.2114441990852356,31,144,0,28447767,logs/AsySpecX_phase5/phase5_asx_cross_weather_sl720_pl96_sd2026.log,0.2848896,0.2358959,0.3444582,0.2732534,0.2859517,0.1445976,0.7834612,0.2433771,0.3773424
phase5_asx_cross_clip05,electricity,720,192,2024,ok,0.1312786,0.15607255697250366,0.25736117362976074,181,24+168,0,28447796,logs/AsySpecX_phase5/phase5_asx_cross_clip05_electricity_sl720_pl192_sd2024.log,0.2303473,0.2162521,0.2208154,0.239095,0.2452497,0.1274006,0.121285,0.1411899,0.1353318
phase5_asx_cross_clip05,electricity,720,192,2025,ok,0.1309606,0.1544388383626938,0.255707710981369,181,24+168,0,28447800,logs/AsySpecX_phase5/phase5_asx_cross_clip05_electricity_sl720_pl192_sd2025.log,0.2300746,0.2177888,0.223692,0.2375911,0.2412467,0.1287784,0.1222523,0.1401388,0.1325651
phase5_asx_cross_clip05,electricity,720,192,2026,ok,0.1307388,0.15552397072315216,0.2572377920150757,181,24+168,0,28447804,logs/AsySpecX_phase5/phase5_asx_cross_clip05_electricity_sl720_pl192_sd2026.log,0.230064,0.2170964,0.2231495,0.2374855,0.2425459,0.1283366,0.1220246,0.1398589,0.1329576
phase5_asx_cross_clip05,electricity,720,336,2024,ok,0.1479733,0.17174547910690308,0.2725899815559387,181,24+168,0,28447797,logs/AsySpecX_phase5/phase5_asx_cross_clip05_electricity_sl720_pl336_sd2024.log,0.2458902,0.2366734,0.241073,0.2551253,0.2507052,0.151152,0.1403523,0.1565025,0.1442595
phase5_asx_cross_clip05,electricity,720,336,2025,ok,0.1482195,0.17207221686840057,0.27305710315704346,181,24+168,0,28447801,logs/AsySpecX_phase5/phase5_asx_cross_clip05_electricity_sl720_pl336_sd2025.log,0.2462135,0.2345487,0.2401758,0.2553643,0.2547855,0.1484373,0.1406484,0.1573066,0.1470346
