dataset,seq_len,pred_len,selector,selected_arm,test_mse,test_mae,oracle_arm,oracle_mse,fixed_best_arm
weather,96,336,unrestricted_segment_robust,phase6_asx_individual_revin,0.283318,0.308607,phase6_asx_individual_revin,0.283318,phase6_asx_period_multi
weather,96,720,unrestricted_segment_robust,phase6_asx_individual_revin,0.3567,0.353665,phase6_asx_individual_revin,0.3567,phase6_asx_period_multi
weather,96,96,unrestricted_segment_robust,phase6_asx_individual_revin,0.187501,0.239589,phase6_asx_individual_revin,0.187501,phase6_asx_period_multi
ETTh1,720,192,unrestricted_margin_prefer_simple,phase6_asx_period_multi,0.416658,0.425533,phase6_asx_cross_clip05,0.414458,phase6_asx_period_multi
ETTh1,720,336,unrestricted_margin_prefer_simple,phase6_asx_cross,0.44444,0.443511,phase6_asx_cross_clip05,0.433757,phase6_asx_period_multi
ETTh1,720,720,unrestricted_margin_prefer_simple,phase6_asx_period_multi,0.448751,0.460177,phase6_asx_cross_clip05,0.431043,phase6_asx_period_multi
ETTh1,720,96,unrestricted_margin_prefer_simple,phase6_asx_cross_clip05,0.379997,0.403904,phase6_asx_cross_clip05,0.379997,phase6_asx_period_multi
ETTh1,96,192,unrestricted_margin_prefer_simple,phase6_asx_period_multi,0.437965,0.425315,phase6_asx_cross_clip05,0.435523,phase6_asx_period_multi
ETTh1,96,336,unrestricted_margin_prefer_simple,phase6_asx_cross,0.480089,0.445358,phase6_asx_cross_clip05,0.474925,phase6_asx_period_multi
ETTh1,96,720,unrestricted_margin_prefer_simple,phase6_asx_period_multi,0.467565,0.454944,phase6_asx_cross_clip05,0.462566,phase6_asx_period_multi
ETTh1,96,96,unrestricted_margin_prefer_simple,phase6_asx_period_multi,0.389832,0.398654,phase6_asx_cross_clip05,0.388208,phase6_asx_period_multi
ETTm1,720,192,unrestricted_margin_prefer_simple,phase6_asx_individual_period,0.343985,0.370746,phase6_asx_individual_period,0.343985,phase6_asx_period_multi
ETTm1,720,336,unrestricted_margin_prefer_simple,phase6_asx_individual,0.376329,0.389791,phase6_asx_individual_period,0.375191,phase6_asx_period_multi
ETTm1,720,720,unrestricted_margin_prefer_simple,phase6_asx_individual,0.426381,0.417995,phase6_asx_period_multi,0.423044,phase6_asx_period_multi
ETTm1,720,96,unrestricted_margin_prefer_simple,phase6_asx_individual_period,0.307015,0.351471,phase6_asx_individual_period,0.307015,phase6_asx_period_multi
ETTm1,96,192,unrestricted_margin_prefer_simple,phase6_asx_individual_revin,0.389531,0.392282,phase6_asx_cross_clip05,0.388281,phase6_asx_period_multi
ETTm1,96,336,unrestricted_margin_prefer_simple,phase6_asx_cross,0.418064,0.414438,phase6_asx_cross_clip05,0.416828,phase6_asx_period_multi
ETTm1,96,720,unrestricted_margin_prefer_simple,phase6_asx_cross,0.482212,0.447196,phase6_asx_cross_clip05,0.478628,phase6_asx_period_multi
ETTm1,96,96,unrestricted_margin_prefer_simple,phase6_asx_cross_clip05,0.351353,0.379215,phase6_asx_cross_clip05,0.351353,phase6_asx_period_multi
PEMS04,96,12,unrestricted_margin_prefer_simple,phase6_asx_cross,0.093211,0.204826,phase6_asx_period_multi,0.0931334,phase6_asx_period_multi
PEMS04,96,24,unrestricted_margin_prefer_simple,phase6_asx_period_multi,0.138738,0.255873,phase6_asx_period_multi,0.138738,phase6_asx_period_multi
PEMS04,96,48,unrestricted_margin_prefer_simple,phase6_asx_period_multi,0.249868,0.355835,phase6_asx_period_multi,0.249868,phase6_asx_period_multi
PEMS04,96,96,unrestricted_margin_prefer_simple,phase6_asx_period_multi,0.381494,0.455779,phase6_asx_period_multi,0.381494,phase6_asx_period_multi
PEMS08,96,12,unrestricted_margin_prefer_simple,phase6_asx_period_multi,0.0914837,0.199324,phase6_asx_period_multi,0.0914837,phase6_asx_period_multi
