arm,dataset,seq_len,pred_len,seed,status,val_mse,mse,mae,cut_freq,periods,exit_code,job_id,log_file,val_mae,val_mae_seg0,val_mae_seg1,val_mae_seg2,val_mae_seg3,val_mse_seg0,val_mse_seg1,val_mse_seg2,val_mse_seg3
phase6_asx_cross,ETTh1,96,720,2025,ok,1.5646157,0.4688500463962555,0.45582520961761475,25,24+168,0,28522560,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl96_pl720_sd2025.log,0.8519667,0.9591297,0.924412,0.8798286,0.6442983,2.0450635,1.7563242,1.5452636,0.9244736
phase6_asx_cross,ETTh1,96,720,2026,ok,1.5697272,0.4700217843055725,0.4601975083351135,25,24+168,0,28522568,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl96_pl720_sd2026.log,0.8556864,0.9651278,0.9277851,0.881671,0.6479589,2.0574617,1.767909,1.5522146,0.9317816
phase6_asx_cross,ETTh1,96,96,2024,ok,0.7080708,0.39082223176956177,0.40078282356262207,25,24+168,0,28522549,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl96_pl96_sd2024.log,0.5579563,0.5628747,0.6447951,0.5249637,0.4991849,0.6805321,0.8636802,0.7226001,0.5847676
phase6_asx_cross,ETTh1,96,96,2025,ok,0.708702,0.3913896083831787,0.39977315068244934,25,24+168,0,28522557,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl96_pl96_sd2025.log,0.5556348,0.5575916,0.6410712,0.5265776,0.4972958,0.6730874,0.8600769,0.7302055,0.5810506
phase6_asx_cross,ETTh1,96,96,2026,ok,0.7106978,0.39249542355537415,0.4015246331691742,25,24+168,0,28522565,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl96_pl96_sd2026.log,0.5565317,0.5595074,0.6426288,0.5261812,0.497805,0.6759519,0.8627309,0.7314088,0.5822096
phase6_asx_cross,ETTm1,720,192,2024,ok,0.5184903,0.34884878993034363,0.38106316328048706,43,96+672,0,28522578,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl720_pl192_sd2024.log,0.4806572,0.4577977,0.5604538,0.4696431,0.4347423,0.4498566,0.6456473,0.555513,0.4228756
phase6_asx_cross,ETTm1,720,192,2025,ok,0.5157093,0.35104626417160034,0.3802494406700134,43,96+672,0,28522586,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl720_pl192_sd2025.log,0.4759311,0.4518104,0.5561229,0.4689546,0.4268452,0.43828,0.6421168,0.5706031,0.4119924
phase6_asx_cross,ETTm1,720,192,2026,ok,0.5139811,0.34861844778060913,0.3794235587120056,43,96+672,0,28522594,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl720_pl192_sd2026.log,0.4768172,0.451699,0.558416,0.4688122,0.4283507,0.4407165,0.6380077,0.5632386,0.4140288
phase6_asx_cross,ETTm1,720,336,2024,ok,0.6530977,0.3771543502807617,0.39772114157676697,43,96+672,0,28522579,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl720_pl336_sd2024.log,0.5355757,0.5300804,0.6172876,0.5197175,0.4752195,0.6062531,0.7803739,0.7194667,0.5081038
phase6_asx_cross,ETTm1,720,336,2025,ok,0.6625739,0.3793903589248657,0.3981545567512512,43,96+672,0,28522587,logs/AsySpecX_phase6/phase6_asx_cross_ETTm1_sl720_pl336_sd2025.log,0.5389815,0.5309963,0.6267443,0.5194491,0.4787392,0.6118383,0.8054259,0.7213744,0.5127591
