arm,seeds,val_mse_mean,val_mse_std,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std,test_wins_vs_stage_a,mean_test_delta_vs_stage_a,mean_test_delta_vs_stage_a_pct,mean_val_delta_vs_stage_a,n_param,peak_cuda_mb,t_train_mean,t_inf_mean,kernel_gate_mean,sm_gate_abs_max_mean,fixed_train_ratio_vs_stage_a,fixed_inference_ratio_vs_stage_a,fixed_peak_memory_ratio_vs_stage_a,stable_win
fk_r8_cs,3,0.6853062333333333,0.00023127741399069627,0.3418097098668416,0.00016644647717102334,0.3384248912334442,0.00011141615131343324,0,0.0,0.0,0.0,75882,139.18,378.37853333333334,6.1538,0.04608391225337982,,1.0,1.0,1.0,0
fk_sm2_mode,3,0.685283,0.00021413234225589782,0.34164464473724365,0.0001653022610365139,0.33832202355066937,9.874607954866324e-05,3,-0.00016506512959796327,-0.04829152737125808,-2.3233333333316786e-05,75938,139.22,418.3871,3.8204333333333333,0.03445100784301758,0.8886059919993082,1.0936518705767806,1.0254996815859696,1.0002936437423766,1
