run_tag,arm,dataset,seq_len,pred_len,seed,cut_freq,cycle,periods,status,exit_code,job_id,n_param,val_mse,mse,mae,t_train,t_inf,peak_cuda_mb,log_file,summary_file,val_mse_seg0,val_mse_seg1,val_mse_seg2,val_mse_seg3
phase10w_0712v1,ind_cycle_full,weather,96,96,2024,13,144,144,ok,0,28661095,18354,0.3968916,0.1584823727607727,0.2043052315711975,376.4342,2.5406,79.66,logs/AsySpecX_phase10/phase10w_0712v1_ind_cycle_full_weather_sl96_pl96_cf13_sd2024.log,phase10_results/confirm_weather_0712v1/ind_cycle_full/weather/sl96_pl96_cf13_sd2024/run_summary.json,0.166308,0.7946405,0.2520616,0.3806239
phase10w_0712v1,ind_cycle_full,weather,96,96,2025,13,144,144,ok,0,28661099,18354,0.3975994,0.15917108952999115,0.20540344715118408,254.4687,2.5441,79.66,logs/AsySpecX_phase10/phase10w_0712v1_ind_cycle_full_weather_sl96_pl96_cf13_sd2025.log,phase10_results/confirm_weather_0712v1/ind_cycle_full/weather/sl96_pl96_cf13_sd2025/run_summary.json,0.1680537,0.7958,0.252749,0.3813859
phase10_0712v1,ind_cycle_full,weather,96,96,2026,13,144,144,ok,0,28661033,18354,0.3964137,0.15883302688598633,0.20491468906402588,281.7686,2.5968,79.66,logs/AsySpecX_phase10/phase10_0712v1_ind_cycle_full_weather_sl96_pl96_cf13_sd2026.log,phase10_results/screen_0712v1/ind_cycle_full/weather/sl96_pl96_cf13_sd2026/run_summary.json,0.1677598,0.79493,0.2524392,0.3819118
phase10wc_0712v1,ind_cycle_full_direct_res,weather,96,96,2026,13,144,144,ok,0,28661182,27762,0.3922333,0.15734562277793884,0.2023373246192932,295.6859,2.6698,81.25,logs/AsySpecX_phase10/phase10wc_0712v1_ind_cycle_full_direct_res_weather_sl96_pl96_cf13_sd2026.log,phase10_results/weather_combo_0712v1/ind_cycle_full_direct_res/weather/sl96_pl96_cf13_sd2026/run_summary.json,0.1642527,0.7911685,0.2494607,0.3753926
phase10_0712v1,ind_direct_res,weather,96,96,2026,13,144,144,ok,0,28661035,24738,0.4081526,0.16561259329319,0.2106107622385025,285.8552,2.7376,79.64,logs/AsySpecX_phase10/phase10_0712v1_ind_direct_res_weather_sl96_pl96_cf13_sd2026.log,phase10_results/screen_0712v1/ind_direct_res/weather/sl96_pl96_cf13_sd2026/run_summary.json,0.1919459,0.8073894,0.2650451,0.3797579
phase10_0712v1,ind_dlinear_res,weather,96,96,2026,13,144,144,ok,0,28661037,34050,0.4079539,0.16552481055259705,0.2104717642068863,293.923,2.4554,81.96,logs/AsySpecX_phase10/phase10_0712v1_ind_dlinear_res_weather_sl96_pl96_cf13_sd2026.log,phase10_results/screen_0712v1/ind_dlinear_res/weather/sl96_pl96_cf13_sd2026/run_summary.json,0.1919944,0.8068463,0.2648483,0.3796578
phase10w_0712v1,ind_cycle_full,weather,96,192,2024,13,144,144,ok,0,28661096,25998,0.4700055,0.20770111680030823,0.2473713457584381,410.4432,2.7594,88.37,logs/AsySpecX_phase10/phase10w_0712v1_ind_cycle_full_weather_sl96_pl192_cf13_sd2024.log,phase10_results/confirm_weather_0712v1/ind_cycle_full/weather/sl96_pl192_cf13_sd2024/run_summary.json,0.2282209,0.8520916,0.3008021,0.5044166
phase10w_0712v1,ind_cycle_full,weather,96,192,2025,13,144,144,ok,0,28661100,25998,0.4702777,0.20775476098060608,0.24740652740001678,337.8024,2.7761,88.37,logs/AsySpecX_phase10/phase10w_0712v1_ind_cycle_full_weather_sl96_pl192_cf13_sd2025.log,phase10_results/confirm_weather_0712v1/ind_cycle_full/weather/sl96_pl192_cf13_sd2025/run_summary.json,0.2283459,0.852082,0.3007054,0.5042604
phase10w_0712v1,ind_cycle_full,weather,96,192,2026,13,144,144,ok,0,28661103,25998,0.4710798,0.2078743278980255,0.24756476283073425,373.9101,2.6134,88.37,logs/AsySpecX_phase10/phase10w_0712v1_ind_cycle_full_weather_sl96_pl192_cf13_sd2026.log,phase10_results/confirm_weather_0712v1/ind_cycle_full/weather/sl96_pl192_cf13_sd2026/run_summary.json,0.2284793,0.852135,0.3009992,0.504364
phase10_0712v1,ind,weather,96,336,2026,5,144,144,ok,0,28661028,5586,0.5775665,0.2715894281864166,0.29532232880592346,407.6863,2.865,99.79,logs/AsySpecX_phase10/phase10_0712v1_ind_weather_sl96_pl336_cf5_sd2026.log,phase10_results/screen_0712v1/ind/weather/sl96_pl336_cf5_sd2026/run_summary.json,0.3688513,0.968563,0.3468102,0.6272726
