arm,dataset,seq_len,pred_len,seed,cut_freq,status,n_param,val_mse,stage_a_val_mse,delta_val_vs_stage_a,delta_val_vs_stage_a_pct,param_ratio_vs_dense,t_train,peak_cuda_mb,forecast_sm_components,forecast_sm_sharing,forecast_sm_base_trainable,forecast_kernel_gate_mean,forecast_kernel_sm_gate_mean,forecast_kernel_sm_gate_abs_max,forecast_kernel_sm_factor_min,forecast_kernel_sm_factor_max,fixed_train_ratio_vs_stage_a,fixed_inference_ratio_vs_stage_a,fixed_peak_memory_ratio_vs_stage_a,strict_val_gain,parameter_ok,resource_ok,kernel_gate_ok,sm_active,eligible,job_id,summary_file
fk_sm4_mode,weather,96,720,2026,13,ok,75986,0.6851097,0.6851406,-3.089999999994486e-05,-0.004510023198145419,0.5494049426633696,467.7272,143.53,4,mode,1,0.03962854668498039,-0.7659444808959961,0.9462957382202148,0.6697199940681458,2.3618099689483643,1.0974364551069171,1.025757448751267,1.000361407682925,1,1,1,1,1,1,28802933,phase11_results/stageb_screen/fk_sm4_mode/weather/sl96_pl720_cf13_sd2026/run_summary.json
fk_sm2_mode,weather,96,720,2026,13,ok,75938,0.6851393,0.6851406,-1.2999999999818712e-06,-0.00018974207629529616,0.5490578861365378,461.64,143.51,2,mode,1,0.03465528041124344,0.69281405210495,0.8891035318374634,0.08804260194301605,5.359204292297363,1.0936518705767806,1.0254996815859696,1.0002936437423766,1,1,1,1,1,1,28802932,phase11_results/stageb_screen/fk_sm2_mode/weather/sl96_pl720_cf13_sd2026/run_summary.json
