arm,dataset,seq_len,pred_len,seed,status,mse,mae,exit_code,job_id,log_file
phase2_global_all,PEMS04,96,24,2026,ok,0.14632244408130646,0.2598985731601715,0,28306912,logs/AsySpecX_phase2/phase2_global_all_PEMS04_sl96_pl24_sd2026.log
phase2_global_all,PEMS04,96,24,2027,ok,0.14675946533679962,0.260210245847702,0,28306916,logs/AsySpecX_phase2/phase2_global_all_PEMS04_sl96_pl24_sd2027.log
phase2_global_all,PEMS04,96,48,2026,ok,0.2600966691970825,0.36320173740386963,0,28306913,logs/AsySpecX_phase2/phase2_global_all_PEMS04_sl96_pl48_sd2026.log
phase2_global_all,PEMS04,96,48,2027,ok,0.25756704807281494,0.3611350953578949,0,28306917,logs/AsySpecX_phase2/phase2_global_all_PEMS04_sl96_pl48_sd2027.log
phase2_global_all,PEMS04,96,96,2026,ok,0.42424264550209045,0.48246893286705017,0,28306914,logs/AsySpecX_phase2/phase2_global_all_PEMS04_sl96_pl96_sd2026.log
phase2_global_all,PEMS04,96,96,2027,ok,0.43232330679893494,0.4873906373977661,0,28306918,logs/AsySpecX_phase2/phase2_global_all_PEMS04_sl96_pl96_sd2027.log
phase2_global_all,PEMS08,96,12,2026,ok,0.09517840296030045,0.20207479596138,0,28306919,logs/AsySpecX_phase2/phase2_global_all_PEMS08_sl96_pl12_sd2026.log
phase2_global_all,PEMS08,96,12,2027,ok,0.095365509390831,0.2021651268005371,0,28306923,logs/AsySpecX_phase2/phase2_global_all_PEMS08_sl96_pl12_sd2027.log
phase2_global_all,PEMS08,96,24,2026,ok,0.1559533178806305,0.26227906346321106,0,28306920,logs/AsySpecX_phase2/phase2_global_all_PEMS08_sl96_pl24_sd2026.log
phase2_global_all,PEMS08,96,24,2027,ok,0.15515244007110596,0.2614401876926422,0,28306924,logs/AsySpecX_phase2/phase2_global_all_PEMS08_sl96_pl24_sd2027.log
phase2_global_all,PEMS08,96,48,2026,ok,0.3132862150669098,0.3921626806259155,0,28306921,logs/AsySpecX_phase2/phase2_global_all_PEMS08_sl96_pl48_sd2026.log
phase2_global_all,PEMS08,96,48,2027,ok,0.3302136957645416,0.40227556228637695,0,28306925,logs/AsySpecX_phase2/phase2_global_all_PEMS08_sl96_pl48_sd2027.log
phase2_global_all,PEMS08,96,96,2026,ok,0.6781328320503235,0.6119340658187866,0,28306922,logs/AsySpecX_phase2/phase2_global_all_PEMS08_sl96_pl96_sd2026.log
phase2_global_all,PEMS08,96,96,2027,ok,0.6384302377700806,0.5869531035423279,0,28306926,logs/AsySpecX_phase2/phase2_global_all_PEMS08_sl96_pl96_sd2027.log
phase2_global_all,electricity,720,192,2026,ok,0.15627269446849823,0.2561454772949219,0,28306884,logs/AsySpecX_phase2/phase2_global_all_electricity_sl720_pl192_sd2026.log
phase2_global_all,electricity,720,192,2027,ok,0.1561538726091385,0.25581082701683044,0,28306892,logs/AsySpecX_phase2/phase2_global_all_electricity_sl720_pl192_sd2027.log
phase2_global_all,electricity,720,336,2026,ok,0.17163944244384766,0.27134326100349426,0,28306885,logs/AsySpecX_phase2/phase2_global_all_electricity_sl720_pl336_sd2026.log
phase2_global_all,electricity,720,336,2027,ok,0.17166854441165924,0.2711949944496155,0,28306893,logs/AsySpecX_phase2/phase2_global_all_electricity_sl720_pl336_sd2027.log
phase2_global_all,electricity,720,720,2026,ok,0.21008139848709106,0.3038232922554016,0,28306886,logs/AsySpecX_phase2/phase2_global_all_electricity_sl720_pl720_sd2026.log
phase2_global_all,electricity,720,720,2027,ok,0.21015934646129608,0.3036365211009979,0,28306894,logs/AsySpecX_phase2/phase2_global_all_electricity_sl720_pl720_sd2027.log
phase2_global_all,electricity,720,96,2026,ok,0.14149953424930573,0.24326308071613312,0,28306883,logs/AsySpecX_phase2/phase2_global_all_electricity_sl720_pl96_sd2026.log
phase2_global_all,electricity,720,96,2027,ok,0.1417655348777771,0.24356651306152344,0,28306891,logs/AsySpecX_phase2/phase2_global_all_electricity_sl720_pl96_sd2027.log
phase2_global_all,electricity,96,192,2026,ok,0.20577207207679749,0.2919292747974396,0,28306880,logs/AsySpecX_phase2/phase2_global_all_electricity_sl96_pl192_sd2026.log
phase2_global_all,electricity,96,192,2027,ok,0.2035151720046997,0.2898421883583069,0,28306888,logs/AsySpecX_phase2/phase2_global_all_electricity_sl96_pl192_sd2027.log
phase2_global_all,electricity,96,336,2026,ok,0.21772879362106323,0.30452993512153625,0,28306881,logs/AsySpecX_phase2/phase2_global_all_electricity_sl96_pl336_sd2026.log
phase2_global_all,electricity,96,336,2027,ok,0.21763300895690918,0.3046450912952423,0,28306889,logs/AsySpecX_phase2/phase2_global_all_electricity_sl96_pl336_sd2027.log
phase2_global_all,electricity,96,720,2026,ok,0.25781553983688354,0.3350414037704468,0,28306882,logs/AsySpecX_phase2/phase2_global_all_electricity_sl96_pl720_sd2026.log
phase2_global_all,electricity,96,720,2027,ok,0.2568718492984772,0.3340577185153961,0,28306890,logs/AsySpecX_phase2/phase2_global_all_electricity_sl96_pl720_sd2027.log
phase2_global_all,electricity,96,96,2026,ok,0.20397545397281647,0.28780484199523926,0,28306879,logs/AsySpecX_phase2/phase2_global_all_electricity_sl96_pl96_sd2026.log
