arm,seeds,val_mse_mean,val_mse_std,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std,test_wins_vs_real_sm,mean_test_delta_vs_real_sm,mean_test_delta_vs_real_sm_pct,mean_val_delta_vs_real_sm,n_param,peak_cuda_mb,t_train_mean,t_inf_mean,phase_abs_max_mean,fixed_train_ratio_vs_real_sm,fixed_inference_ratio_vs_real_sm,fixed_peak_memory_ratio_vs_real_sm,stable_win
fk_sm4_mode,3,0.6852741,0.0002264428110288867,0.34171129266421,0.00016722830183901099,0.33837175369262695,0.000107064795131823,0,0.0,0.0,0.0,75986,139.23,402.31649999999996,4.2523,,1.0,1.0,1.0,0
fk_sm4_ph2_q,3,0.6852639666666667,0.00022318647410227995,0.34169865647951764,0.00016521518085032898,0.33836044867833454,0.00010467052611022124,3,-1.2636184692382812e-05,-0.003697912525468805,-1.0133333333328665e-05,76002,139.45,395.62736666666666,4.5446,0.25201693673928577,1.0477339680753357,1.0505123519303907,1.005520765907483,1
